instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32,ent_t64,ent_t128
759,adaptive_k100,,,5,0.2,-18.93721874462364,1.6800917387008667,7.490991115570068,7.755558967590332,7.902930736541748,7.975241184234619,7.990469455718994,7.990127563476562,7.990052700042725,7.990052700042725
759,cak_160,0.612406239959294,,5,0.2,-18.93721874462364,0.131714329123497,1.1100826263427734,1.8116973638534544,2.770576238632202,3.928277730941773,5.1211442947387695,6.095094203948975,6.747189998626709,7.1797051429748535
759,cak_320,0.7293170217051478,,5,0.2,-18.93721874462364,0.2909734845161438,2.2968146800994877,3.4532952308654785,4.715381622314453,5.821318626403809,6.589019775390625,7.078740119934082,7.417579174041748,7.66121244430542
759,cak_640,0.8834521362957191,,5,0.2,-18.93721874462364,0.5420876741409302,3.6094272136688232,4.928202629089356,6.015951156616211,6.733384132385254,7.183758735656738,7.491011142730713,7.704434394836426,7.840159893035889
883,adaptive_k50,,,6,0.2,-26.5858890924547,1.7367111444473269,7.768558502197266,7.951826572418213,7.991111755371094,7.996614933013916,7.9970855712890625,7.99704122543335,7.99704122543335,7.99704122543335
883,adaptive_k100,,,6,0.2,-26.5858890924547,1.8166981935501096,7.845120429992676,7.975844860076904,7.998782634735107,8.001887321472168,8.001948356628418,8.001944541931152,8.001944541931152,8.001944541931152
883,cak_160,0.5360080415471224,,6,0.2,-26.5858890924547,0.2265808284282684,1.7287170886993408,2.561796903610229,3.4943618774414062,4.428657054901123,5.316510200500488,6.127824306488037,6.799508094787598,7.285275936126709
883,cak_320,0.6209235036999665,,6,0.2,-26.5858890924547,0.3736200928688049,2.662431001663208,3.710700273513794,4.772039890289307,5.766815185546875,6.603981018066406,7.200080871582031,7.566893100738525,7.780189514160156
883,cak_640,0.7312773585654081,,6,0.2,-26.5858890924547,0.5506930351257324,3.688328504562378,4.882180690765381,5.9750142097473145,6.830026149749756,7.373205661773682,7.673461437225342,7.831559181213379,7.907643795013428
373,adaptive_k50,,,2,0.1,1.219879741117918,0.3709141612052917,6.12994909286499,6.816542148590088,7.386878490447998,7.710397243499756,7.841556072235107,7.930477142333984,7.983989715576172,7.995137691497803
