dataset,instance,method,ks_hat,elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
sadspheres,160,orc,-0.154266110176696,6.96,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,laziness_knn_t5,-5.384317398071289,0.22,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,160,hickock,11.841884776648516,16.63,,4-Sphere,4,,0.0,,Sphere,2.0
sadspheres,168,signed_orc_t8,0.0180921200671145,5.99,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,signed_orc_phys_t8,0.00611023042516,5.99,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,signed_orc_t16,0.2908532867675061,5.99,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,signed_orc_phys_t16,0.0966627127131627,5.99,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,dc_wasserstein_ollivier,-0.6892956495285034,5.67,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,orc,-0.2574874432490486,8.01,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,laziness_knn_t5,-5.805832862854004,0.47,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,168,hickock,9.780016627941771,17.71,,4-Saddle,4,,0.0,,Saddle,-16.0
sadspheres,176,signed_orc_t8,0.1457323775844939,7.25,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,signed_orc_phys_t8,0.0641061005074233,7.25,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,signed_orc_t16,0.2368058639032597,7.25,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,signed_orc_phys_t16,0.1032226120338104,7.25,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,dc_wasserstein_ollivier,0.0301088690757751,7.2,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,orc,-0.2188036041678135,7.38,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,laziness_knn_t5,-5.55085563659668,0.53,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,176,hickock,10.474335071529003,17.24,,4-Plane,4,,0.0,,Plane,0.0
sadspheres,184,signed_orc_t8,0.3981557229129099,5.72,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,signed_orc_phys_t8,0.0962237438783908,5.72,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,signed_orc_t16,0.8346765720414149,5.72,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,signed_orc_phys_t16,0.1859750056347257,5.72,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,dc_wasserstein_ollivier,0.5745726823806763,7.38,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,orc,-0.1557638223612009,6.97,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,laziness_knn_t5,-5.627592086791992,0.6,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,184,hickock,16.212405484714896,17.78,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,192,signed_orc_t8,0.0701490681749897,5.29,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,signed_orc_phys_t8,0.0162725702819146,5.29,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,signed_orc_t16,0.8697053524469391,5.29,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,signed_orc_phys_t16,0.1969998814829931,5.29,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,dc_wasserstein_ollivier,-0.3925447463989258,9.19,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,orc,-0.2346504622152946,6.98,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,laziness_knn_t5,-6.17100715637207,0.75,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,192,hickock,15.330632233758314,17.05,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,200,signed_orc_t8,0.326940093661364,6.32,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,signed_orc_phys_t8,0.0925085623448774,6.32,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,signed_orc_t16,0.7366149960442581,6.32,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,signed_orc_phys_t16,0.2082784879875042,6.32,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,dc_wasserstein_ollivier,-0.016903281211853,9.24,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,orc,-0.249738843801154,7.16,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,laziness_knn_t5,-6.245417594909668,0.91,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,200,hickock,15.603441456102486,16.72,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,208,signed_orc_t8,0.4337178909353714,6.4,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,signed_orc_phys_t8,0.1060612254091886,6.4,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,signed_orc_t16,0.8203106999142746,6.4,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,signed_orc_phys_t16,0.1847078259601239,6.4,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,dc_wasserstein_ollivier,0.5551939010620117,8.62,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,orc,-0.1284805256527184,7.41,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,laziness_knn_t5,-5.621542930603027,0.81,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,208,hickock,15.879324351064046,15.39,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,216,signed_orc_t8,0.2887450280097716,4.53,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,signed_orc_phys_t8,0.0647704184874468,4.53,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,signed_orc_t16,0.8369843755322637,4.53,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,signed_orc_phys_t16,0.1838345059528689,4.53,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,dc_wasserstein_ollivier,-0.3161959648132324,9.69,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,orc,-0.2133607253652525,8.87,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,laziness_knn_t5,-6.153869152069092,0.6,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,216,hickock,15.66183109710854,16.4,,5-Saddle,5,,0.0,,Saddle,-16.0
sadspheres,224,signed_orc_t8,0.2779431876681629,5.29,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,signed_orc_phys_t8,0.0809632067784429,5.29,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,signed_orc_t16,0.7259119936455694,5.29,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,signed_orc_phys_t16,0.2113592851087418,5.29,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,dc_wasserstein_ollivier,-0.0181952714920043,9.05,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,orc,-0.2478428245049955,7.95,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,laziness_knn_t5,-6.056775093078613,0.47,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,224,hickock,15.589601401202604,13.97,,5-Plane,5,,0.0,,Plane,0.0
sadspheres,232,signed_orc_t8,0.3899758605002201,5.11,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,signed_orc_phys_t8,0.0874219783319802,5.11,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,signed_orc_t16,0.8724328311532077,5.11,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,signed_orc_phys_t16,0.1828441671356972,5.11,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,dc_wasserstein_ollivier,0.5610227584838867,8.6,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,orc,-0.1099105667235071,8.06,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,laziness_knn_t5,-5.426227569580078,0.52,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,232,hickock,16.13355204927492,14.83,,5-Sphere,5,,0.0,,Sphere,2.0
sadspheres,240,signed_orc_t8,0.378508715418092,3.97,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,signed_orc_phys_t8,0.0680586402440808,3.97,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,signed_orc_t16,0.9093784476167612,3.97,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,signed_orc_phys_t16,0.1630414343785366,3.97,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,dc_wasserstein_ollivier,0.1282293796539306,4.7,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,orc,-0.2763343046058003,8.86,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,laziness_knn_t5,-6.628690242767334,0.58,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,240,hickock,19.675781395611683,16.49,,6-Saddle,6,,0.0,,Saddle,-24.0
sadspheres,248,signed_orc_t8,0.4454299085631064,3.47,,6-Plane,6,,0.0,,Plane,0.0
sadspheres,248,signed_orc_phys_t8,0.0882091812932089,3.47,,6-Plane,6,,0.0,,Plane,0.0
