instance,n_traj,err,dim,noise,ks_true,coverage,kappa_km,kappa_km_sd,frac_km,frac_km_sd,entcak_km_t2,entcak_km_t2_sd,entcak_km_t4,entcak_km_t4_sd,entcak_km_t8,entcak_km_t8_sd
606,25,,4,0.1,-27.860036231503933,0.273,0.5947599569464159,0.2262939518721775,0.3562499999999999,0.3692792811680612,0.9219344556331636,0.2783223226664655,1.293436884880066,0.3616192858553853,1.7353958785533905,0.4604922329377059
668,25,,5,0.01,-28.42240351450837,0.275,0.9432592258879222,0.0452999346260407,0.090625,0.1297157348782328,0.6772965639829636,0.2021908097587801,1.006636142730713,0.277880608305217,1.3907111436128616,0.3658053694495528
730,25,,5,0.1,-67.17285898139227,0.294,0.9046244618932696,0.0388513450262572,0.0,0.0,0.3821444287896156,0.115403524139121,0.6100290715694427,0.1629882566352034,0.9223315864801408,0.2072835008308967
792,25,,6,0.01,-38.33381100352402,0.291,0.8048435289545978,0.0562918742225872,0.0,0.0,0.1614313665777444,0.0341377460526053,0.2583523988723755,0.0559941717308323,0.3957924246788025,0.0886217446227564
854,25,,6,0.1,-26.73210065400279,0.3,0.8882164384913904,0.1084103881464383,0.0,0.0,0.0829781834036111,0.0474573937839017,0.1462568771094083,0.0806587466180076,0.2535278499126434,0.1344018936962985
425,10,,3,0.01,-6.077102370699984,0.12,0.906182640256997,0.0601081640398681,0.0,0.0,1.4782671332359314,0.430159609691666,1.8456368446350095,0.4592654252159343,2.229456275701523,0.4872984654254396
487,10,,3,0.1,-37.0087735355624,0.122,0.8350339489569072,0.1328258678889518,0.0,0.0,1.591119460761547,0.7340069823123764,1.90521077811718,0.7829889052405355,2.190708205103874,0.8220871900288428
549,10,,4,0.01,-11.171970873719408,0.124,0.9396759763373276,0.0218042478437883,0.259375,0.427874014021651,0.9630659595131874,0.4142230995460037,1.30988060683012,0.5520868784036272,1.692709997296333,0.7135675177915733
611,10,,4,0.1,-3.3189630707114124,0.134,0.934231008640526,0.0380041444129461,0.2,0.2479604303109671,0.3303974233567714,0.1495722626464215,0.495253074914217,0.2334454778339905,0.7215805537998676,0.3596974380582527
673,10,,5,0.01,-29.827358750792463,0.132,0.9920965316320258,0.002649552213248,0.0,0.0,0.6037449575960636,0.227118239651796,0.8968201354146004,0.3127694306897378,1.2442563027143478,0.387778002782794
750,10,,5,0.2,-64.8943072100459,0.131,0.9846448734732148,0.0065574791316219,0.209375,0.3626481378347337,0.1615617889910936,0.0684397672352065,0.2664256729185581,0.1061058593562507,0.4166220054030418,0.1500755694940284
812,10,,6,0.05,-45.10090508696406,0.135,0.9713830703257392,0.0216141104367201,0.0,0.0,0.0757691632024943,0.0690615665341693,0.1266201017424464,0.1116806233437991,0.2024912349879741,0.1702327570757101
874,10,,6,0.2,-3.968806191274376,0.121,0.998989183049216,0.0009676103572288,0.0,0.0,0.5698805116117001,0.3121301831855215,0.8426850661635399,0.4242610404962307,1.1764475479722023,0.5539020626954787
425,25,,3,0.01,-6.077102370699984,0.258,0.6387166018936516,0.1273112572193904,0.071875,0.124491151794013,1.571047604084015,0.4613054375267083,2.0124511420726776,0.4867301178921419,2.49236872792244,0.5319447016260628
487,25,,3,0.1,-37.0087735355624,0.259,0.3692179023918903,0.1447464192723574,0.0125,0.0216506350946109,2.25633156299591,0.2018100057947208,2.940877079963684,0.2434267012460036,3.6094951033592224,0.2476672038845253
549,25,,4,0.01,-11.171970873719408,0.272,0.6272129704207992,0.113630792356585,0.00625,0.0108253175473054,0.9028178304433824,0.3227856457227922,1.2948548197746277,0.4243766947992458,1.768789380788803,0.514998906693627
611,25,,4,0.1,-3.3189630707114124,0.27,0.6920816783823414,0.1852025690145021,0.003125,0.0054126587736527,1.0465654730796814,0.4696664170949679,1.4744150936603546,0.5877251213167854,1.988591939210892,0.6630089953316338
673,25,,5,0.01,-29.827358750792463,0.279,0.8996508248762751,0.0701002172849644,0.003125,0.0054126587736527,0.6026558727025986,0.3547943666703294,0.8596990257501602,0.4394749406004868,1.1600750833749771,0.4918516453991016
750,25,,5,0.2,-64.8943072100459,0.296,0.8405757682716777,0.0882085708235702,0.159375,0.2760455974562898,0.6359536349773407,0.1354756558185046,1.044893592596054,0.2158496272471135,1.6112216711044312,0.3069023384365467
812,25,,6,0.05,-45.10090508696406,0.292,0.4867166482420971,0.3141156304770338,0.0,0.0,0.1685758009552955,0.0567529632972136,0.2891642153263092,0.0933625336223252,0.4791330471634865,0.1454551990645058
874,25,,6,0.2,-3.968806191274376,0.288,0.946416913720998,0.0526063984361245,0.0,0.0,0.3707718290388584,0.1843740927960316,0.6138701550662518,0.289991861145736,0.9605914950370787,0.415710215614313
426,10,,3,0.01,-3.8235642778157457,0.124,0.9710817568369136,0.0137502866473243,0.35,0.4092676385936225,0.9567789882421494,0.3842324773855702,1.402311310172081,0.5166075405634615,1.889352023601532,0.5854428638314643
488,10,,3,0.1,25.65230615275553,0.109,0.9392536132668844,0.033833747716927,0.25,0.4330127018922193,1.1039411649107933,0.5155271684693213,1.5607836171984673,0.7112002717174732,2.0541671365499496,0.9224843265842292
550,10,,4,0.01,78.43052538097425,0.116,0.9988913038285288,0.000696269737581,0.2093749999999999,0.3208113493550376,0.369716003537178,0.1382595066229826,0.5669153407216072,0.1773967736498965,0.8328537493944168,0.2128264251807019
612,10,,4,0.1,2.082313981868797,0.125,0.9912986287365908,0.0083900379700262,0.0,0.0,0.449563980102539,0.1592617012200281,0.6636270359158516,0.2524178359483621,0.9333762675523758,0.3653994352009402
674,10,,5,0.01,-25.2216018569094,0.12,0.9992632451544852,0.0002939662448728,0.0,0.0,0.3957316987216472,0.2875044712190838,0.5917396433651447,0.3950968011904625,0.8459189683198929,0.5047620388873371
751,10,,5,0.2,-19.136262533696787,0.129,0.9986988850700196,0.0007149302460479,0.103125,0.1786177395305404,0.2653733603656292,0.0329053997701372,0.3845668509602546,0.0393042868410393,0.5333090275526047,0.0825198318904616
813,10,,6,0.05,-23.29512109554493,0.12,0.9998429325421656,0.0001838840990868,0.2,0.3464101615137755,0.3702479414641857,0.2541977645921118,0.5895479768514633,0.3634975962705896,0.8915816694498062,0.4671800924737886
875,10,,6,0.2,-49.26458148457658,0.123,0.988497992228318,0.0083374009592622,0.00625,0.0108253175473054,0.364245833363384,0.281189676270259,0.5560536477714777,0.4080727558525613,0.8121285047382116,0.556301194999517
426,25,,3,0.01,-3.8235642778157457,0.246,0.7026768879214174,0.1256637689880009,0.0,0.0,1.6475959196686745,0.7800243981701548,2.125653713941574,0.9204940859895568,2.632697433233261,1.0215322266904938
488,25,,3,0.1,25.65230615275553,0.282,0.6017680805073564,0.2237290057114879,0.26875,0.2469343283142301,0.2082146528409794,0.1266094359430652,0.31076939124614,0.1917507623804722,0.434887143666856,0.2742084791410857
550,25,,4,0.01,78.43052538097425,0.274,0.7970667601014214,0.1816014915820596,0.0,0.0,0.7874043881893158,0.2291557256589934,1.1371368765830994,0.3048035482181796,1.5390553176403046,0.3832934080838345
612,25,,4,0.1,2.082313981868797,0.28,0.7360455003802964,0.1505401089398696,0.009375,0.0162379763209582,0.7377137690782547,0.1365854849178923,1.0952669531106949,0.1330688941728739,1.560260146856308,0.117706454752065
674,25,,5,0.01,-25.2216018569094,0.294,0.8323657871173096,0.0669108459270149,0.0,0.0,0.2593251280486583,0.0317259521820509,0.4306746199727058,0.0558998181640906,0.6928252726793289,0.1006193951424014
751,25,,5,0.2,-19.136262533696787,0.296,0.9206109031842344,0.0607909995957452,0.06875,0.1190784930203603,0.6910319030284882,0.0916344563542557,1.0354341566562653,0.1198291681546319,1.4456218481063845,0.151530869163517
813,25,,6,0.05,-23.29512109554493,0.293,0.9199556073555536,0.0729950005147552,0.0,0.0,0.6356145553290844,0.3183923355716674,0.9980785995721816,0.4646457192412245,1.4755863398313522,0.6293264815550198
875,25,,6,0.2,-49.26458148457658,0.283,0.9059399377011126,0.0784705339022048,0.0,0.0,0.1809635814279317,0.1170855357050476,0.3115349449217319,0.2007223847268952,0.5187554284930229,0.330297157521697
427,10,,3,0.01,-41.3525179488977,0.115,0.8628321616516483,0.0718251135965884,0.0,0.0,2.409227639436722,0.5414120919883634,2.7055057287216187,0.4187360603838097,2.937857508659363,0.3257753654785669
489,10,,3,0.1,-5.530406551054341,0.116,0.9131912799797036,0.0399112122735527,0.009375,0.0162379763209582,1.375290349125862,0.4347150274017431,1.843543827533722,0.5044423521512934,2.3014167845249176,0.5182906046185021
551,10,,4,0.01,-12.598162870506057,0.128,0.9831767886709282,0.0130904852876244,0.05625,0.0664384113295915,0.4312294200062752,0.0641944235778779,0.6647646725177765,0.1115264898610928,0.964576169848442,0.1825593534683585
613,10,,4,0.1,-22.6348913684337,0.12,0.9784291793815848,0.0101795925977982,0.046875,0.0741488157356542,0.7205813638865948,0.4084116897029737,0.9958035871386528,0.5539095428766313,1.316674143075943,0.7107408277351488
690,10,,5,0.05,19.46385767445848,0.13,0.9971552426556216,0.0032693640259863,0.00625,0.0108253175473054,0.4417978603160009,0.2851622612550769,0.6845407554646954,0.424249225837667,0.996165671152994,0.5986851126987455
