instance,n_traj,err,name,dim,noise,ks_true,coverage,n_visited,eval_dist,kappa_plus,frac,ent_cak_t2,ent_cak_t4,ent_cak_t8
661,100,,d5-c1-n0.01-m1,5,0.01,2.5245450099361197,0.739,2216,0.0,-0.3899300337295622,0.475,4.85404109954834,5.867992877960205,6.573310375213623
674,50,,d5-c1-n0.01-m14,5,0.01,-25.2216018569094,0.487,1461,0.0,-0.6394348663092697,0.675,4.281461715698242,5.406264781951904,6.213803291320801
702,25,,d5-c1-n0.05-m12,5,0.05,-8.094765280509788,0.287,862,0.2875,0.1253824596823217,1.0,3.606623411178589,4.683753490447998,5.5167765617370605
730,10,,d5-c1-n0.1-m10,5,0.1,-67.17285898139227,0.121,364,0.7449,-0.0461998707758632,0.975,1.6954421997070312,2.2170512676239014,2.813514709472656
757,250,,d5-c1-n0.2-m7,5,0.2,-29.417968211109795,0.957,2870,0.0,-0.4470290113313878,1.0,5.355485916137695,6.392398834228516,7.0681657791137695
785,100,,d6-c1-n0.01-m5,6,0.01,-25.903753117337263,0.724,2173,0.0,-0.6634028828083125,1.0,4.888633728027344,5.830468654632568,6.484952449798584
813,50,,d6-c1-n0.05-m3,6,0.05,-23.29512109554493,0.486,1459,0.4439,-0.1575582962099231,0.9,2.996105670928955,4.136516094207764,5.291806697845459
841,25,,d6-c1-n0.1-m1,6,0.1,-28.27057085781108,0.306,918,0.568,-0.484210381971795,1.0,3.25433611869812,4.2818803787231445,5.170970439910889
854,10,,d6-c1-n0.1-m14,6,0.1,-26.73210065400279,0.127,380,0.8588,0.7627929838112187,1.0,1.63337504863739,2.3457202911376958,3.1048474311828613
881,250,,d6-c1-n0.2-m11,6,0.2,-26.701955637154743,0.957,2871,0.0,-0.4436646043500183,1.0,5.060082912445068,6.172714710235596,6.916512966156006
302,100,,d2-c1-n0.01-m2,2,0.01,2.435305785100224,0.67,2011,0.0,-0.0767031784266044,0.0,5.242804527282715,5.808764934539795,6.400811672210693
330,50,,d2-c1-n0.05-m0,2,0.05,0.1641133119551789,0.45,1350,0.0,-0.1397135397277041,0.025,4.74550724029541,5.351147174835205,5.937802314758301
343,25,,d2-c1-n0.05-m13,2,0.05,-4.378023159484492,0.244,731,0.0,-0.163581981054839,0.0,4.2198357582092285,4.599008083343506,5.005029201507568
371,10,,d2-c1-n0.1-m11,2,0.1,-16.934696980264345,0.104,313,0.3547,0.4228133535289696,0.0,3.0492093563079834,3.228703737258911,3.3900039196014404
398,250,,d2-c1-n0.2-m8,2,0.2,-3.912962490843667,0.963,2889,0.0,-0.0157566707453722,0.0,5.538511753082275,6.3297953605651855,6.956777095794678
426,100,,d3-c1-n0.01-m6,3,0.01,-3.8235642778157457,0.66,1981,0.1046,0.0482656995053977,0.6125,4.8799147605896,5.803731918334961,6.676219463348389
454,50,,d3-c1-n0.05-m4,3,0.05,-4.99685320061184,0.445,1336,0.1044,-0.0842417645651712,0.85,4.4335246086120605,5.31400203704834,6.074431896209717
482,25,,d3-c1-n0.1-m2,3,0.1,-3.557038532205605,0.268,804,0.4531,0.496069480821036,0.05,3.7749295234680176,4.474228382110596,5.048230171203613
510,10,,d3-c1-n0.2-m0,3,0.2,9.530164910380307,0.132,397,0.3895,0.779332482455932,1.0,3.322777271270752,3.8828728199005127,4.3987908363342285
522,250,,d3-c1-n0.2-m12,3,0.2,-18.867196080469053,0.948,2845,0.0,-0.1367441983433762,0.0,5.633578300476074,6.338424205780029,6.820128917694092
550,100,,d4-c1-n0.01-m10,4,0.01,78.43052538097425,0.7,2100,0.0,0.3869480043565479,0.0,4.695536136627197,5.530883312225342,6.197610378265381
578,50,,d4-c1-n0.05-m8,4,0.05,-22.05882557409797,0.472,1417,0.0,0.021996488470736,1.0,4.150462627410889,5.281337261199951,6.177684307098389
606,25,,d4-c1-n0.1-m6,4,0.1,-27.860036231503933,0.273,818,0.4429,0.1351291528299087,0.425,3.367937564849853,4.342109203338623,5.169685363769531
634,10,,d4-c1-n0.2-m4,4,0.2,-5.665571274105821,0.126,379,0.552,0.933172614927756,0.4,2.03495454788208,2.6386020183563232,3.225642442703247
661,250,,d5-c1-n0.01-m1,5,0.01,2.5245450099361197,0.954,2863,0.0,-0.0194933079746442,0.3125,5.15509033203125,6.186060428619385,6.889528751373291
674,100,,d5-c1-n0.01-m14,5,0.01,-25.2216018569094,0.734,2202,0.0,-0.2086098393737543,0.25,4.9628777503967285,6.074165344238281,6.7712016105651855
702,50,,d5-c1-n0.05-m12,5,0.05,-8.094765280509788,0.488,1465,0.0,0.3061109170598975,0.0375,4.53902530670166,5.488269329071045,6.136273384094238
730,25,,d5-c1-n0.1-m10,5,0.1,-67.17285898139227,0.294,882,0.6976,-0.0393711765246235,1.0,3.2522850036621094,4.176107883453369,5.006641864776611
758,10,,d5-c1-n0.2-m8,5,0.2,-31.847402516207318,0.13,389,0.0,0.8304459225725314,1.0,1.9912493228912356,2.595905303955078,3.2296664714813232
785,250,,d6-c1-n0.01-m5,6,0.01,-25.903753117337263,0.953,2860,0.0,-0.4890959191497871,1.0,5.170079708099365,6.189636707305908,6.869234561920166
813,100,,d6-c1-n0.05-m3,6,0.05,-23.29512109554493,0.743,2229,0.0,-1.0037396806436274,0.9875,4.619803428649902,5.771413326263428,6.580808162689209
841,50,,d6-c1-n0.1-m1,6,0.1,-28.27057085781108,0.482,1445,0.0,-0.6653344818290594,1.0,4.137341499328613,5.220943927764893,5.961562633514404
854,25,,d6-c1-n0.1-m14,6,0.1,-26.73210065400279,0.3,900,0.6233,0.0911752110685478,1.0,2.50647234916687,3.481009721755981,4.480976104736328
882,10,,d6-c1-n0.2-m12,6,0.2,-34.46401744692712,0.132,396,0.602,0.8695851522385716,1.0,2.276521682739258,2.852771043777466,3.426173448562622
302,250,,d2-c1-n0.01-m2,2,0.01,2.435305785100224,0.929,2786,0.0,0.0015042344138676,0.075,5.615259170532227,6.2748637199401855,6.902453899383545
330,100,,d2-c1-n0.05-m0,2,0.05,0.1641133119551789,0.661,1984,0.0,0.0008011531770677,0.0,5.339907169342041,5.957629203796387,6.5384039878845215
343,50,,d2-c1-n0.05-m13,2,0.05,-4.378023159484492,0.433,1299,0.0475,0.1496558408614851,0.375,4.88206958770752,5.647403240203857,6.194896697998047
371,25,,d2-c1-n0.1-m11,2,0.1,-16.934696980264345,0.249,746,0.317,-0.6857325035056332,0.0,3.411590337753296,3.6970467567443848,3.91085433959961
399,10,,d2-c1-n0.2-m9,2,0.2,0.678826668015989,0.119,357,0.0767,0.1712090301634652,0.1375,3.445152997970581,3.926118850708008,4.344240665435791
426,250,,d3-c1-n0.01-m6,3,0.01,-3.8235642778157457,0.961,2883,0.0,0.0137289102696691,0.5,5.497679710388184,6.439805507659912,7.212667942047119
454,100,,d3-c1-n0.05-m4,3,0.05,-4.99685320061184,0.712,2135,0.0,0.0465428292630507,0.65,5.196727275848389,6.159945964813232,6.845909118652344
482,50,,d3-c1-n0.1-m2,3,0.1,-3.557038532205605,0.457,1370,0.0,0.1677785382767891,0.05,4.441998958587647,5.240386962890625,6.010079860687256
510,25,,d3-c1-n0.2-m0,3,0.2,9.530164910380307,0.289,867,0.0,0.2050808013369537,1.0,4.278053283691406,5.07701301574707,5.617926120758057
523,10,,d3-c1-n0.2-m13,3,0.2,-9.60260942351796,0.116,348,0.4127,0.5845369921077626,0.3125,2.196598768234253,2.7167088985443115,3.2738442420959477
550,250,,d4-c1-n0.01-m10,4,0.01,78.43052538097425,0.95,2849,0.0,0.1501353763163171,0.0,4.744191646575928,5.68756103515625,6.481471538543701
578,100,,d4-c1-n0.05-m8,4,0.05,-22.05882557409797,0.709,2127,0.3119,-0.1032996797631179,0.775,4.989434242248535,6.0762457847595215,6.778544902801514
606,50,,d4-c1-n0.1-m6,4,0.1,-27.860036231503933,0.465,1394,0.4591,0.0278167346505135,0.5125,4.164170742034912,5.176102638244629,5.934940814971924
634,25,,d4-c1-n0.2-m4,4,0.2,-5.665571274105821,0.296,888,0.4327,0.3617006711239899,0.9,3.521221160888672,4.434070110321045,5.270131587982178
662,10,,d5-c1-n0.01-m2,5,0.01,-1.454894501301056,0.121,363,0.7054,0.8891113339665071,0.025,1.950526475906372,2.4442641735076904,2.884950637817383
674,250,,d5-c1-n0.01-m14,5,0.01,-25.2216018569094,0.946,2837,0.0,-0.3504685036915003,0.375,5.423167705535889,6.5324225425720215,7.164682865142822
702,100,,d5-c1-n0.05-m12,5,0.05,-8.094765280509788,0.725,2175,0.0,-0.0874669937956056,0.225,4.98895263671875,6.053821086883545,6.710274696350098
730,50,,d5-c1-n0.1-m10,5,0.1,-67.17285898139227,0.487,1462,0.3991,0.0579390770902443,1.0,4.27575159072876,5.195659160614014,5.897752285003662
758,25,,d5-c1-n0.2-m8,5,0.2,-31.847402516207318,0.287,862,0.6853,0.0175049274416784,0.9125,3.057572603225708,3.797815799713135,4.536865234375
786,10,,d6-c1-n0.01-m6,6,0.01,19.57578791881146,0.128,385,1.1752,0.3073043335342058,0.6625,1.6710323095321655,2.07891845703125,2.38410758972168
813,250,,d6-c1-n0.05-m3,6,0.05,-23.29512109554493,0.954,2863,0.0,-0.1497514668533834,1.0,4.955843448638916,6.146722793579102,6.965680122375488
