seed,T,N,gamma,temperature,mean_kl,pearson_entropy_vs_ks,spearman_entropy_vs_ks,pearson_entropy_hat_vs_real,err
0,50,10,0.2,0.3,2.8205962191802136,0.21654841130008745,0.24753693338423333,0.11452156243473179,
0,50,10,0.2,0.5,2.494879423455692,0.1737677107226451,0.19545194868628166,0.09323985743261959,
0,50,10,0.2,1.0,2.5240261465375933,0.0682270728071282,0.07034970858742715,0.028830975579914885,
0,50,10,0.2,2.0,2.9141682859810802,-0.06972911544579861,-0.11878943819735953,-0.06512529233149059,
0,50,10,0.2,5.0,4.04297634028946,-0.14584206174908868,-0.17038182809545702,-0.08430707745410555,
0,50,10,0.5,0.1,10.16189790560913,0.20281433965038084,0.22173644243411064,0.0677788959889368,
0,50,10,0.5,0.3,4.847519431862931,0.22507619816668117,0.26284451071112763,0.09820798090381833,
0,50,10,0.5,0.5,3.294796152809402,0.20229444744835973,0.23917560729390183,0.10752888372724813,
0,50,10,0.5,1.0,2.1027675674107758,0.11992400550012033,0.13737173689444862,0.09782968411924442,
0,50,10,0.5,2.0,1.7508084571909925,-0.0014179293843949482,-0.020137133791834873,0.03914924738651185,
0,50,10,0.5,5.0,2.241425758750128,-0.14479107327676102,-0.19412318903079726,-0.12711319115538922,
0,50,10,0.8,0.1,16.47422923475718,0.16333014271276386,0.1704708636177159,0.058889859655870055,
0,50,10,0.8,0.3,10.847400799421285,0.19330545879778346,0.2098955984738996,0.10766930310287225,
0,50,10,0.8,0.5,8.054394458540362,0.19378548455826305,0.21208561702140424,0.11726214693261451,
0,50,10,0.8,1.0,4.730390218617925,0.1621366368229893,0.1779001585417522,0.11419261535587008,
0,50,10,0.8,2.0,2.2832120104592324,0.075790792191013,0.06846991711747928,0.08661147936537111,
0,50,10,0.8,5.0,0.9784783408609692,-0.0745444005216829,-0.1518364512660515,-0.03950437650706655,
0,50,10,0.9,0.1,18.329730253644893,0.1301218302316448,0.13877217169304293,0.0671920848814464,
0,50,10,0.9,0.3,14.102624612211784,0.18114863993998248,0.18962377447705256,0.12465511583596821,
0,50,10,0.9,0.5,11.555365551406139,0.19088262021841956,0.2004267734318534,0.13876074518591947,
0,50,10,0.9,1.0,7.886405947558252,0.17387019013141553,0.18574426050571924,0.13357389290601632,
0,50,10,0.9,2.0,4.291573100761396,0.10288094903035783,0.10002889450722362,0.09507011589855811,
0,50,10,0.9,5.0,1.1540971324926423,-0.0458016247979459,-0.11580583395145848,-0.019699657397886525,
0,50,20,0.2,0.1,3.226192379776841,0.23876774905201642,0.30202841300710326,0.09817438837961032,
0,50,20,0.2,0.3,2.1824348084626197,0.2025936779308664,0.26228148107037025,0.11525109753328588,
0,50,20,0.2,0.5,2.1243236591852757,0.1461680543060249,0.18743715335928832,0.10419017187138466,
0,50,20,0.2,1.0,2.337429200337791,0.007010251299588684,0.019690341422585356,0.038647582761697,
0,50,20,0.2,2.0,2.794665468371725,-0.21845464254899238,-0.27933449964787627,-0.09949027000993818,
0,50,20,0.2,5.0,3.946580682695193,-0.20961481253800546,-0.28420210490710207,-0.08558285428017165,
0,50,20,0.5,0.1,7.273058275674977,0.20447341110558975,0.26046897511724376,0.0409527855588017,
0,50,20,0.5,0.3,3.6890773879976204,0.21210745339732423,0.27439380945135006,0.09405115988232875,
0,50,20,0.5,0.5,2.6062813529081557,0.1857332399901137,0.2361251795312949,0.12078515301769738,
0,50,20,0.5,1.0,1.7660509677349847,0.09111437863008484,0.11495154328099266,0.1351200590535153,
0,50,20,0.5,2.0,1.570246362797096,-0.09838507028723889,-0.11988449626608075,0.0733406225525953,
0,50,20,0.5,5.0,2.1118729418213706,-0.23893265618359177,-0.3591784077946019,-0.11278648456641369,
0,50,20,0.8,0.1,14.390258020798944,0.11791263881370753,0.1367016716754179,0.00290609961186903,
0,50,20,0.8,0.3,9.430965007675326,0.17137226015450474,0.2143364501644887,0.05807368604164723,
0,50,20,0.8,0.5,7.093144371439669,0.1870743451470543,0.22590997147749287,0.09318962564101513,
0,50,20,0.8,1.0,4.243782983823248,0.16687453957205345,0.1890301095784137,0.13527662400628734,
0,50,20,0.8,2.0,2.05317701498805,0.052539940878954944,0.06318337506953754,0.14325158871369564,
0,50,20,0.8,5.0,0.8590102074040469,-0.22013664759573118,-0.3110520253796509,-0.008469215349070816,
0,50,20,0.9,0.1,17.24490533833741,0.11196906807990993,0.1270557827639457,0.052834658094458094,
0,50,20,0.9,0.3,13.144425843522068,0.16196775052661433,0.19804988251247058,0.0971184068373488,
0,50,20,0.9,0.5,10.84839906924685,0.18017469138080178,0.2163540375885094,0.12155155011613616,
