anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
1007,0.78349775,1.1360021933310145,1.0,4,plane,1,0.0
283,0.8378542,1.2175595306120715,1.0,4,plane,1,0.0
619,0.3470273,1.1435897601223657,1.0,4,plane,1,0.0
1568,0.7895013,1.3291112661737814,1.0,4,plane,1,0.0
1715,0.84271187,1.1632723774370286,1.0,4,plane,1,0.0
1966,0.78872204,1.4174168394173554,1.0,4,plane,1,0.0
267,1.639226,1.6208605052807639,0.99999994,4,plane,1,0.0
808,0.57523584,0.9854293540617661,1.0,4,plane,1,0.0
1619,0.03615428,0.3632382039645119,1.0,4,plane,1,0.0
1624,0.7871404,1.3058359435219025,1.0,4,plane,1,0.0
513,0.44844225,1.2073647920179247,1.0,4,plane,1,0.0
496,0.43973854,1.2643051707515236,1.0,4,plane,1,0.0
1494,0.72520643,1.0385332431321896,1.0,4,plane,1,0.0
409,0.6295881,1.1990638094607808,0.99999994,4,plane,1,0.0
1006,0.2319061,1.0622466426344277,1.0,4,plane,1,0.0
1070,1.3292568,1.8889306354210205,1.0,4,plane,1,0.0
1946,0.4256155,1.232469896968824,1.0000001,4,plane,1,0.0
1866,1.1210762,1.6993982796670213,1.0,4,plane,1,0.0
1275,0.21208821,0.9756836685661069,1.0,4,plane,1,0.0
1090,0.12758525,0.7831075251390618,1.0,4,plane,1,0.0
1713,0.7537335,1.19775340856383,0.99999994,4,plane,1,0.0
1483,0.22482035,0.7352805635755637,1.0000001,4,plane,1,0.0
608,0.57350194,1.2123289676574067,0.99999994,4,plane,1,0.0
931,0.81934094,1.3592281454160802,1.0,4,plane,1,0.0
80,0.84656817,1.3487321837370037,1.0000001,4,plane,2,0.0
1642,0.31674558,1.3994728087503936,1.0,4,plane,2,0.0
1600,0.79042625,1.094673376538706,1.0,4,plane,2,0.0
515,0.39708737,1.3237404491750915,1.0,4,plane,2,0.0
606,0.6067429,1.577625164908077,1.0,4,plane,2,0.0
1863,0.39102107,1.032632144513503,1.0,4,plane,2,0.0
299,0.42361057,1.375029361992297,1.0,4,plane,2,0.0
439,0.6672918,1.702408938488506,1.0,4,plane,2,0.0
761,0.7925338,1.3180476016918314,1.0,4,plane,2,0.0
815,0.80553466,1.2454538722060389,0.99999994,4,plane,2,0.0
1879,0.27405533,1.1312541584149651,1.0,4,plane,2,0.0
181,1.564538,1.683987984367953,0.99999994,4,plane,2,0.0
