n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
20,7,0.3,-6.296845731117743,1.344101513481964,556,
20,7,0.5,-6.439409436081811,1.344101513481964,556,
20,8,0.2,-5.70861035015272,8.476333094564682,575,
20,8,0.3,-5.864996823849886,8.476333094564682,575,
20,8,0.5,-6.0511594299648115,8.476333094564682,575,
20,9,0.2,-6.065299061904276,-1.0306529025359887,532,
20,9,0.3,-6.233988204396757,-1.0306529025359887,532,
20,9,0.5,-6.446277843382125,-1.0306529025359887,532,
20,10,0.2,-5.809872998487229,8.175660436251281,596,
20,10,0.3,-5.9878687546557225,8.175660436251281,596,
20,10,0.5,-6.206754892464452,8.175660436251281,596,
20,11,0.2,-6.235162269839472,14.726218324067672,571,
20,11,0.3,-6.392450270844842,14.726218324067672,571,
20,11,0.5,-6.583922943175361,14.726218324067672,571,
20,12,0.2,-5.500378611372478,-1.842235872735504,536,
20,12,0.3,-5.671644663632805,-1.842235872735504,536,
20,12,0.5,-5.880183074011732,-1.842235872735504,536,
20,13,0.2,-6.202417014876463,6.623965019732538,517,
20,13,0.3,-6.330577485104825,6.623965019732538,517,
20,13,0.5,-6.484994549815844,6.623965019732538,517,
20,14,0.2,-5.716977021546491,-2.71842316244986,565,
20,14,0.3,-5.89556287326644,-2.71842316244986,565,
20,14,0.5,-6.112960693899509,-2.71842316244986,565,
20,15,0.2,-5.634225004286993,-5.040171363309043,525,
20,15,0.3,-5.796967210315523,-5.040171363309043,525,
20,15,0.5,-5.995489129566011,-5.040171363309043,525,
20,16,0.2,-5.419758510964324,-0.42067983431734857,509,
20,16,0.3,-5.600287405587367,-0.42067983431734857,509,
20,16,0.5,-5.827475352933693,-0.42067983431734857,509,
20,17,0.2,-6.206143210817884,-3.8680885251115953,572,
20,17,0.3,-6.348496948088799,-3.8680885251115953,572,
20,17,0.5,-6.522480106020307,-3.8680885251115953,572,
20,18,0.2,-5.632308396807035,-0.45945178926591107,569,
20,18,0.3,-5.8231431537018095,-0.45945178926591107,569,
20,18,0.5,-6.062136463205508,-0.45945178926591107,569,
20,19,0.2,-5.8076760447942295,3.3638746890594096,520,
20,19,0.3,-5.947691691838778,3.3638746890594096,520,
20,19,0.5,-6.1122231721878055,3.3638746890594096,520,
40,0,0.2,-5.874161817004314,-4.590010406490113,981,
40,0,0.3,-6.024134518295739,-4.590010406490113,981,
40,0,0.5,-6.212683129869592,-4.590010406490113,981,
40,1,0.2,-6.205717224032939,13.603673931000143,952,
40,1,0.3,-6.369964762896049,13.603673931000143,952,
40,1,0.5,-6.574495008512705,13.603673931000143,952,
40,2,0.2,-5.870279598666961,13.891764839771986,996,
40,2,0.3,-6.053863843042688,13.891764839771986,996,
40,2,0.5,-6.280214283361014,13.891764839771986,996,
40,3,0.2,-5.463160186241835,2.573541816232177,936,
40,3,0.3,-5.6511974645476055,2.573541816232177,936,
40,3,0.5,-5.890561469599732,2.573541816232177,936,
40,4,0.2,-5.817735802022423,-2.5507815394602606,1025,
40,4,0.3,-5.983854736235084,-2.5507815394602606,1025,
40,4,0.5,-6.195976028442383,-2.5507815394602606,1025,
40,5,0.2,-5.751134454609153,-1.4499377757973766,1002,
40,5,0.3,-5.928884971641494,-1.4499377757973766,1002,
