dataset,method,n_samples,n_trajectories,instance,name,ks_hat_mean,ks_hat_std,ks_true_scalar,label
sadspheres,laziness_knn_t3,500,500,8,2-Saddle-4,-3.57509183883667,0.19877630864119586,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,8,2-Saddle-4,-3.9897470993995667,0.2293304834266176,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,8,2-Saddle-4,-4.53362242603302,0.2623748357798214,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,8,2-Saddle-4,-3.9438470606803895,0.2238865049149022,-8.0,0.0
sadspheres,successor_entropy,500,500,8,2-Saddle-4,-5.6948328094482425,0.14427923356302944,-8.0,0.0
sadspheres,successor_orc,500,500,8,2-Saddle-4,-17.625666637395835,232.38323545404717,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,9,2-Sphere-4,-3.626384217262268,0.15083270495010062,2.0,1.0
sadspheres,laziness_knn_t5,500,500,9,2-Sphere-4,-4.089669352531433,0.1567498943276836,2.0,1.0
sadspheres,laziness_knn_t10,500,500,9,2-Sphere-4,-4.707639846801758,0.13585780633328962,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,9,2-Sphere-4,-4.051868683815003,0.1598697529280506,2.0,1.0
sadspheres,successor_entropy,500,500,9,2-Sphere-4,-5.580060994148254,0.1879966470922652,2.0,1.0
sadspheres,successor_orc,500,500,9,2-Sphere-4,-6.296146790585884,22.305120872743302,2.0,1.0
sadspheres,laziness_knn_t3,500,500,10,2-Saddle-5,-3.572320885658264,0.22258802670447184,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,10,2-Saddle-5,-3.97903985452652,0.2664343018355231,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,10,2-Saddle-5,-4.515216412067414,0.2974986901333757,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,10,2-Saddle-5,-3.9364651665687562,0.25818756439933677,-8.0,0.0
sadspheres,successor_entropy,500,500,10,2-Saddle-5,-5.571099908828735,0.1808743382944855,-8.0,0.0
sadspheres,successor_orc,500,500,10,2-Saddle-5,-2.7553107750654697,9.623600419829037,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,11,2-Sphere-5,-3.606889302253723,0.14593009962166043,2.0,1.0
sadspheres,laziness_knn_t5,500,500,11,2-Sphere-5,-4.0522466311454775,0.151126650381083,2.0,1.0
sadspheres,laziness_knn_t10,500,500,11,2-Sphere-5,-4.6501624927520755,0.13456674843588814,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,11,2-Sphere-5,-4.013355148792267,0.14999096894052397,2.0,1.0
sadspheres,successor_entropy,500,500,11,2-Sphere-5,-5.71526926612854,0.14307064258417512,2.0,1.0
sadspheres,successor_orc,500,500,11,2-Sphere-5,-5.159870160899178,34.05556115735323,2.0,1.0
sadspheres,laziness_knn_t3,500,500,12,2-Saddle-6,-3.5995875129699706,0.18566873135079923,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,12,2-Saddle-6,-4.011862513542176,0.23391076800007093,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,12,2-Saddle-6,-4.542914831161499,0.27668707455735225,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,12,2-Saddle-6,-3.971443763256073,0.2243625897006749,-8.0,0.0
sadspheres,successor_entropy,500,500,12,2-Saddle-6,-5.613634764671326,0.22576376076045324,-8.0,0.0
sadspheres,successor_orc,500,500,12,2-Saddle-6,-2.8839475580140226,6.737608162368159,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,13,2-Sphere-6,-3.6554015064239502,0.13275825754454362,2.0,1.0
sadspheres,laziness_knn_t5,500,500,13,2-Sphere-6,-4.114875962734223,0.1347400232821388,2.0,1.0
sadspheres,laziness_knn_t10,500,500,13,2-Sphere-6,-4.723123480796814,0.11205338493930832,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,13,2-Sphere-6,-4.082896918296814,0.13235057773674958,2.0,1.0
sadspheres,successor_entropy,500,500,13,2-Sphere-6,-5.724966579437256,0.1477067993575458,2.0,1.0
sadspheres,successor_orc,500,500,13,2-Sphere-6,-4.597244266820355,18.126010740040606,2.0,1.0
sadspheres,laziness_knn_t3,500,500,14,2-Saddle-7,-3.5943271374702452,0.1925594315724409,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,14,2-Saddle-7,-4.0137304553985595,0.21686675327817345,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,14,2-Saddle-7,-4.562905229568481,0.24068502280402732,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,14,2-Saddle-7,-3.9719276809692383,0.21679008081003773,-8.0,0.0
sadspheres,successor_entropy,500,500,14,2-Saddle-7,-5.685841150283814,0.1601621698262353,-8.0,0.0
sadspheres,successor_orc,500,500,14,2-Saddle-7,-4.797047282477304,22.02395941123993,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,15,2-Sphere-7,-3.6470759377479554,0.1439527234054731,2.0,1.0
sadspheres,laziness_knn_t5,500,500,15,2-Sphere-7,-4.10480979681015,0.15398281141726225,2.0,1.0
sadspheres,laziness_knn_t10,500,500,15,2-Sphere-7,-4.71606414604187,0.129829973152599,2.0,1.0
sadspheres,laziness_adaptive_t5,500,500,15,2-Sphere-7,-4.074379637241363,0.14804483348001515,2.0,1.0
sadspheres,successor_entropy,500,500,15,2-Sphere-7,-5.7203720712661745,0.1426134052567043,2.0,1.0
sadspheres,successor_orc,500,500,15,2-Sphere-7,-8.487290189381982,52.591072435926435,2.0,1.0
sadspheres,laziness_knn_t3,500,500,16,2-Saddle-8,-3.563123095035553,0.17685279094663142,-8.0,0.0
sadspheres,laziness_knn_t5,500,500,16,2-Saddle-8,-3.962234281539917,0.20873678970621354,-8.0,0.0
sadspheres,laziness_knn_t10,500,500,16,2-Saddle-8,-4.493841987609863,0.24671594163276786,-8.0,0.0
sadspheres,laziness_adaptive_t5,500,500,16,2-Saddle-8,-3.9194593949317933,0.20130582730754787,-8.0,0.0
sadspheres,successor_entropy,500,500,16,2-Saddle-8,-5.721000479698181,0.14339810442369308,-8.0,0.0
sadspheres,successor_orc,500,500,16,2-Saddle-8,-5.311233680429575,40.65057015268448,-8.0,0.0
sadspheres,laziness_knn_t3,500,500,17,2-Sphere-8,-3.6434564242362977,0.13912259216535106,2.0,1.0
sadspheres,laziness_knn_t5,500,500,17,2-Sphere-8,-4.100405348300934,0.14974744820762342,2.0,1.0
sadspheres,laziness_knn_t10,500,500,17,2-Sphere-8,-4.704306702613831,0.12957020140198924,2.0,1.0
