instance,n_traj,method,ks_hat,ks_hat_std,n_seeds_ok,coverage,eval_dist,elapsed_s,err,name,dim,codim,noise,m,ks_true
853,500,kmetric_dorc,0.3057092636687526,0.0410557137649802,4,0.998,0.0,326.9,,d6-c1-n0.1-m13,6,1,0.1,13,-28.91830997833552
853,500,fbkernel_orc,0.2804600300949937,0.0315274601197896,4,0.998,0.0,326.9,,d6-c1-n0.1-m13,6,1,0.1,13,-28.91830997833552
850,500,traj_dorc,0.2618229733175398,0.0,1,0.998,0.0,2.4,,d6-c1-n0.1-m10,6,1,0.1,10,36.32813350240218
850,500,kmetric_dorc,0.4118567403970492,0.0365223076377546,4,0.998,0.0,311.6,,d6-c1-n0.1-m10,6,1,0.1,10,36.32813350240218
850,500,fbkernel_orc,0.3367439105420466,0.0319971589324979,4,0.998,0.0,311.6,,d6-c1-n0.1-m10,6,1,0.1,10,36.32813350240218
847,500,traj_dorc,0.2212125302939343,0.0,1,0.998,0.0,2.6,,d6-c1-n0.1-m7,6,1,0.1,7,-52.04537163029244
847,500,kmetric_dorc,0.2772018563561876,0.0288367029875342,4,0.998,0.0,317.0,,d6-c1-n0.1-m7,6,1,0.1,7,-52.04537163029244
847,500,fbkernel_orc,0.3117347691183785,0.0235145941999276,4,0.998,0.0,317.0,,d6-c1-n0.1-m7,6,1,0.1,7,-52.04537163029244
844,500,traj_dorc,0.1959353778747286,0.0,1,0.997,0.0,2.7,,d6-c1-n0.1-m4,6,1,0.1,4,-51.41557026855955
844,500,kmetric_dorc,0.2696696248363873,0.0290999536877099,4,0.997,0.0,317.5,,d6-c1-n0.1-m4,6,1,0.1,4,-51.41557026855955
844,500,fbkernel_orc,0.3327172072087276,0.0673134268272871,4,0.997,0.0,317.5,,d6-c1-n0.1-m4,6,1,0.1,4,-51.41557026855955
841,500,traj_dorc,0.2675263925102306,0.0,1,0.999,0.0,2.6,,d6-c1-n0.1-m1,6,1,0.1,1,-28.27057085781108
841,500,kmetric_dorc,0.3670043281413127,0.0748529275263685,4,0.999,0.0,312.2,,d6-c1-n0.1-m1,6,1,0.1,1,-28.27057085781108
841,500,fbkernel_orc,0.3341605642259412,0.0281882554790641,4,0.999,0.0,312.2,,d6-c1-n0.1-m1,6,1,0.1,1,-28.27057085781108
823,500,traj_dorc,0.3583448692735358,0.0,1,0.996,0.0,2.5,,d6-c1-n0.05-m13,6,1,0.05,13,-71.9194356359564
