instance,n_traj,dim,noise,ks_true,err,coverage,topo
643,100,4,0.2,6.224275918490596,,0.7253333333333334,0.0227271922890507
720,100,5,0.1,9.58742063848517,,0.7466666666666667,0.0493254015767863
782,100,6,0.01,-86.42381835431243,,0.7356666666666667,0.0596663778485664
844,100,6,0.1,-51.41557026855955,,0.7366666666666667,0.0745516028977053
458,25,3,0.05,0.4466454396956449,,0.276,0.039595277824404
520,25,3,0.2,2.0196605728685517,,0.2743333333333333,-0.0054557296416408
582,25,4,0.05,-20.161306901824567,,0.2776666666666667,0.0411951025163055
644,25,4,0.2,53.48846762686056,,0.288,0.0721640767038006
721,25,5,0.1,55.01886922438137,,0.282,-0.0313063347342508
783,25,6,0.01,-42.99969305482514,,0.293,0.1032719864580242
845,25,6,0.1,-16.385632508942592,,0.271,0.0668909413054735
458,100,3,0.05,0.4466454396956449,,0.712,0.0217932401996429
520,100,3,0.2,2.0196605728685517,,0.7353333333333333,0.0335644067101895
582,100,4,0.05,-20.161306901824567,,0.715,0.0369844374290219
644,100,4,0.2,53.48846762686056,,0.7276666666666667,0.0323893685504302
721,100,5,0.1,55.01886922438137,,0.735,0.0719520641670738
783,100,6,0.01,-42.99969305482514,,0.7413333333333333,0.0498577468999477
845,100,6,0.1,-16.385632508942592,,0.7546666666666667,0.0654179701906317
459,25,3,0.05,3.218057928153633,,0.2663333333333333,-0.0504137594697243
521,25,3,0.2,-2.5949241501049283,,0.284,0.0288589536366734
583,25,4,0.05,28.472607937392368,,0.2776666666666667,-0.009426718125166
660,25,5,0.01,1.9053751696081136,,0.2846666666666667,0.0955546665787396
722,25,5,0.1,-51.81568753840308,,0.292,0.0433676386814774
784,25,6,0.01,-71.27016179316198,,0.294,0.0836001291688502
846,25,6,0.1,68.02202730824673,,0.3006666666666667,0.0865043212923208
459,100,3,0.05,3.218057928153633,,0.6996666666666667,0.0034570220372695
521,100,3,0.2,-2.5949241501049283,,0.7243333333333334,-0.0027521043445333
583,100,4,0.05,28.472607937392368,,0.7266666666666667,0.058730845381411
660,100,5,0.01,1.9053751696081136,,0.7296666666666667,0.04655382627447
722,100,5,0.1,-51.81568753840308,,0.7403333333333333,0.0480114655312736
784,100,6,0.01,-71.27016179316198,,0.7426666666666667,0.0664849054225594
846,100,6,0.1,68.02202730824673,,0.7376666666666667,0.0378676612246586
422,100,3,0.01,-10.734204673555151,,0.6846666666666666,-0.0010309432718432
484,100,3,0.1,-9.95300009216142,,0.7366666666666667,0.0371833807556964
546,100,4,0.01,-35.825477386408664,,0.7033333333333334,0.0098097477122283
608,100,4,0.1,5.924945353387931,,0.7183333333333334,0.0934217599484795
670,100,5,0.01,-44.4013504262728,,0.7293333333333333,0.0681499220739229
732,100,5,0.1,-36.76476047112881,,0.734,0.0567843698825912
794,100,6,0.01,-38.89536340245233,,0.7046666666666667,0.067616571080832
871,100,6,0.2,0.935435246704639,,0.7353333333333333,0.0562316150383736
460,25,3,0.05,-13.787515224982826,,0.2503333333333333,-0.0467511237628148
522,25,3,0.2,-18.867196080469053,,0.2803333333333333,0.0716364685953841
584,25,4,0.05,-18.85016105524571,,0.279,0.0433419369106235
661,25,5,0.01,2.5245450099361197,,0.293,0.0057656907342916
723,25,5,0.1,-39.1042194433172,,0.2823333333333333,0.078683865526457
785,25,6,0.01,-25.903753117337263,,0.2723333333333333,0.0573362901837704
847,25,6,0.1,-52.04537163029244,,0.2843333333333333,0.0773867783110146
460,100,3,0.05,-13.787515224982826,,0.701,0.0072751177651687
522,100,3,0.2,-18.867196080469053,,0.7206666666666667,-0.0045707313296834
584,100,4,0.05,-18.85016105524571,,0.7126666666666667,0.0138514530195677
661,100,5,0.01,2.5245450099361197,,0.7386666666666667,0.0411618518715844
723,100,5,0.1,-39.1042194433172,,0.7213333333333334,0.0669959145727312
785,100,6,0.01,-25.903753117337263,,0.7243333333333334,0.063407955214319
847,100,6,0.1,-52.04537163029244,,0.7326666666666667,0.0852571706170715
461,25,3,0.05,21.368395828400903,,0.2656666666666666,0.0189058466953467
523,25,3,0.2,-9.60260942351796,,0.276,-0.0509511337049757
600,25,4,0.1,-26.415311732361605,,0.2856666666666667,0.063924192751752
662,25,5,0.01,-1.454894501301056,,0.2953333333333333,0.0409845790596833
724,25,5,0.1,-53.95304602005903,,0.275,0.0032471243576164
786,25,6,0.01,19.57578791881146,,0.2803333333333333,0.1093026949503213
848,25,6,0.1,-25.63865350280647,,0.298,0.0846604519444975
461,100,3,0.05,21.368395828400903,,0.685,0.0211785121933613
523,100,3,0.2,-9.60260942351796,,0.707,0.0227079667615669
600,100,4,0.1,-26.415311732361605,,0.7183333333333334,0.0357698109367296
662,100,5,0.01,-1.454894501301056,,0.7203333333333334,0.042555815082234
724,100,5,0.1,-53.95304602005903,,0.7146666666666667,0.0494144054040569
786,100,6,0.01,19.57578791881146,,0.7436666666666667,0.0898176826010789
848,100,6,0.1,-25.63865350280647,,0.7396666666666667,0.0973177257101782
462,25,3,0.05,4.789913485957336,,0.262,0.0377023496294617
524,25,3,0.2,-10.794922538515332,,0.2696666666666666,-0.0057954399797921
601,25,4,0.1,-25.490568830187783,,0.2686666666666666,0.0967539551582743
