instance,n_traj,dim,noise,ks_true,err,coverage,eval_dist,resp_skew,pair_contract,pair_n
815,100,6,0.05,-81.15612396422729,,0.7406666666666667,0.0,-1.2544035447228623,-1.3442351639851016,2559.0
877,100,6,0.2,-36.88598049578116,,0.738,0.0,-1.7504422503740884,-1.4173984236348254,2551.0
429,25,3,0.01,-16.296502183721266,,0.271,0.2690333289339096,-0.8130472261990918,-2.522429130350109,101.0
491,25,3,0.1,-13.136520272342572,,0.2896666666666667,0.295680248809046,-1.4040766334044943,-1.6317187844133456,122.0
553,25,4,0.01,-14.479569337189464,,0.274,0.2311533647853649,-1.966963197358804,-1.918076540670093,232.0
630,25,4,0.2,-3.558579726048665,,0.2876666666666667,0.1862284646276491,-1.3565030168979375,-1.4203532824028466,142.0
692,25,5,0.05,-29.278471998111137,,0.2663333333333333,0.0,-1.7508193919675457,-1.666689853703165,234.0
754,25,5,0.2,-4.946768816439207,,0.2973333333333333,0.3732223472249176,-1.0246792916050027,-1.8725301712021911,182.0
816,25,6,0.05,20.366556504039107,,0.3143333333333333,0.0,-1.29447807633897,-1.622496930700943,288.0
878,25,6,0.2,-31.98985941612672,,0.291,0.0,-1.795473990759619,-1.7594038806143282,240.0
429,100,3,0.01,-16.296502183721266,,0.7013333333333334,0.0,-0.2715306730230432,-1.4743272415084332,2045.0
491,100,3,0.1,-13.136520272342572,,0.7153333333333334,0.0,-0.1611744592456477,-1.4257669214050246,2475.0
553,100,4,0.01,-14.479569337189464,,0.703,0.0,-1.109338715953442,-1.4179979150560067,2704.0
630,100,4,0.2,-3.558579726048665,,0.761,0.0,-1.3537398162718006,-1.433702360504333,2479.0
692,100,5,0.05,-29.278471998111137,,0.733,0.3740389410031852,-1.682953541277281,-1.364048518888087,2067.0
754,100,5,0.2,-4.946768816439207,,0.7443333333333333,0.0,-1.1610010863079825,-1.4370033071664905,2505.0
816,100,6,0.05,20.366556504039107,,0.7586666666666667,0.0,-2.0876738854407995,-1.288929317062706,2251.0
878,100,6,0.2,-31.98985941612672,,0.7523333333333333,0.0,-1.317838123816972,-1.482496090219774,2489.0
421,25,3,0.01,-7.415704083686769,,0.2446666666666666,0.0,-0.4459858351747316,-1.9344307629095323,198.0
483,25,3,0.1,4.107036960514779,,0.277,0.2470310360859844,-0.3777936278242455,-1.81719875577534,146.0
545,25,4,0.01,-25.421391317475663,,0.2683333333333333,0.0,-2.0435496876851595,-1.849781244755123,162.0
607,25,4,0.1,-12.183740340828578,,0.2746666666666666,0.2650092931783293,-0.786287790947658,-1.8216334509207464,175.0
669,25,5,0.01,-18.319930087521648,,0.2693333333333333,0.4207757243316838,-1.6341322126451636,-1.4643306275119556,135.0
731,25,5,0.1,-18.969061686030443,,0.2906666666666667,0.0,-1.223673298900185,-2.0231305694423525,245.0
793,25,6,0.01,-76.44652684559905,,0.2883333333333333,0.6860703180585506,-1.827027337747448,-2.000444962801332,261.0
870,25,6,0.2,-34.693294949412,,0.2913333333333333,0.2793607640634257,-1.9707247949212945,-1.8007403325040154,240.0
430,25,3,0.01,-16.842236690951605,,0.276,0.3169269959662913,-1.1735677062797885,-2.003412104806817,227.0
492,25,3,0.1,0.3353985029380055,,0.2736666666666666,0.2900494459353417,-2.115347764851382,-1.9265762379094435,142.0
554,25,4,0.01,-4.503402761482203,,0.2693333333333333,0.2769380829801362,-1.7438520062807603,-1.8835513823252417,229.0
631,25,4,0.2,9.496456875600702,,0.2886666666666667,0.0,-1.8244826645484928,-1.746020169172405,148.0
693,25,5,0.05,-16.703636368602854,,0.2796666666666667,0.3935388470929005,-1.376048108111618,-1.58327801656348,152.0
755,25,5,0.2,-34.37732560792047,,0.2776666666666667,0.0,-1.5614474144840187,-1.4315370305787698,229.0
817,25,6,0.05,-12.910662028844692,,0.3076666666666666,0.6414288930024447,-1.2715820910312483,-1.489748136332187,162.0
879,25,6,0.2,-34.01810499140309,,0.3103333333333333,0.6962431878455972,-1.8193749551118632,-1.7659159613357274,250.0
430,100,3,0.01,-16.842236690951605,,0.701,0.0,-0.1980833809576368,-1.5077641968930835,2474.0
492,100,3,0.1,0.3353985029380055,,0.7363333333333333,0.0,-0.4802593923444254,-1.3530449032132614,2265.0
554,100,4,0.01,-4.503402761482203,,0.7143333333333334,0.0,-0.7554505413090173,-1.5516273142024768,2579.0
631,100,4,0.2,9.496456875600702,,0.7206666666666667,0.3167041894375672,-1.7936740929496788,-1.4739353633024168,2345.0
693,100,5,0.05,-16.703636368602854,,0.7256666666666667,0.0,-1.4538107873219213,-1.5834229125448742,2540.0
755,100,5,0.2,-34.37732560792047,,0.72,0.0,-1.7455506410023172,-1.5001897519750793,2501.0
817,100,6,0.05,-12.910662028844692,,0.7346666666666667,0.0,-1.3952515252759632,-1.237604309127408,2464.0
879,100,6,0.2,-34.01810499140309,,0.736,0.0,-1.808534114225796,-1.3617743272776146,2539.0
431,25,3,0.01,14.164580864957042,,0.2536666666666666,0.2761191259400518,-2.6245866054648723,-2.50534618330215,149.0
493,25,3,0.1,33.209975825617065,,0.26,0.1060984893845147,-1.0887920234409028,-1.6184870727257243,88.0
570,25,4,0.05,-1.0376935627011612,,0.2746666666666666,0.4254241336234072,-1.197670441957032,-1.7213576105344717,251.0
632,25,4,0.2,-24.04856054825175,,0.2733333333333333,0.0,-1.7744066926486624,-1.4289218257274996,98.0
694,25,5,0.05,54.88132514320018,,0.2863333333333333,0.4596799634919672,-0.7837680768220077,-1.69443482954502,197.0
756,25,5,0.2,-36.6631065153695,,0.292,0.3506243351097255,-0.9913097365576212,-1.2650048608002098,159.0
818,25,6,0.05,-41.17873865452874,,0.2916666666666667,0.5199947820036174,-1.5837537295878916,-1.8537127693948232,219.0
880,25,6,0.2,76.14894406390464,,0.2873333333333333,0.6938751274733329,-1.5616691236715492,-2.059280700786442,267.0
431,100,3,0.01,14.164580864957042,,0.677,0.0,-0.6683392026593842,-1.6823319480110364,1861.0
493,100,3,0.1,33.209975825617065,,0.687,0.2151999148851992,-0.5343849265597925,-1.3586870630614605,2387.0
570,100,4,0.05,-1.0376935627011612,,0.713,0.0,-1.1205525760470598,-1.3669155252684035,2396.0
632,100,4,0.2,-24.04856054825175,,0.7403333333333333,0.2974495311339928,-1.544627046675916,-1.5220133262148476,2601.0
694,100,5,0.05,54.88132514320018,,0.734,0.0,-1.3116143539716596,-1.346518286352463,2286.0
756,100,5,0.2,-36.6631065153695,,0.737,0.3506243351097255,-1.4792950813786463,-1.2105703205494798,1831.0
818,100,6,0.05,-41.17873865452874,,0.7286666666666667,0.0,-1.4344008113657154,-1.4136876927726356,2656.0
880,100,6,0.2,76.14894406390464,,0.748,0.6913876296880598,-1.2775484442722698,-1.2734190783431016,2003.0
432,25,3,0.01,-15.026763600360248,,0.27,0.1306849725078681,-1.3977714571768078,-1.9555014852678887,162.0
494,25,3,0.1,-1.6689192913019415,,0.2663333333333333,0.2899259021307769,-1.1956991481079329,-1.466375512343982,170.0
571,25,4,0.05,-39.90075492062513,,0.2696666666666666,0.0,-1.6164085041941434,-1.5972336020449067,145.0
633,25,4,0.2,-15.94121826097334,,0.271,0.4368456397614154,-1.5503962497273325,-1.8073900771161464,199.0
695,25,5,0.05,-28.646174109828085,,0.277,0.5080483023471176,-1.8446326109924072,-1.8392936095089092,166.0
757,25,5,0.2,-29.417968211109795,,0.2853333333333333,0.4109207404009019,-1.5078019261885227,-1.4258406684164884,238.0
819,25,6,0.05,18.013705493536783,,0.2883333333333333,0.6192716923056422,-1.2789675120828556,-1.9250667587493584,283.0
881,25,6,0.2,-26.701955637154743,,0.295,0.6468722394593932,-1.5543262838780678,-1.4621388487241855,296.0
432,100,3,0.01,-15.026763600360248,,0.691,0.0,0.057155499741451,-1.5579496715469388,2048.0
494,100,3,0.1,-1.6689192913019415,,0.729,0.0,-0.8120353481306009,-1.383194721761012,2365.0
571,100,4,0.05,-39.90075492062513,,0.726,0.0,-1.1043919924124694,-1.4223805979345452,2516.0
633,100,4,0.2,-15.94121826097334,,0.733,0.0,-1.016795246015096,-1.611557547457769,2579.0
695,100,5,0.05,-28.646174109828085,,0.7376666666666667,0.4104511484221501,-1.115685099262429,-1.546220871318719,2059.0
757,100,5,0.2,-29.417968211109795,,0.717,0.5316046536070165,-1.920784077809412,-1.3245827952734763,2311.0
819,100,6,0.05,18.013705493536783,,0.764,0.0,-1.6988652930390449,-1.2035209882346247,2506.0
881,100,6,0.2,-26.701955637154743,,0.7666666666666667,0.0,-1.1825775708158894,-1.3478396628137077,2507.0
433,25,3,0.01,0.380085965305853,,0.2476666666666666,0.2949539192779346,-1.865709470708439,-2.03900248337608,214.0
510,25,3,0.2,9.530164910380307,,0.289,0.0,-0.4184555516526176,-1.6273998306002309,227.0
572,25,4,0.05,-16.09270414189458,,0.2766666666666666,0.4257660323847819,-1.431240312378992,-2.718920229608083,224.0
