instance,graph,neighbor_scale,err,dim,noise,ks_true,s1,ent_t1,ent_t2,ent_t4,ent_t8,ent_t16,ent_t32
451,cak_80,0.9298090571203874,,3,0.05,-12.659383196182684,0.0589045472443103,1.338894248008728,1.875361442565918,2.5006957054138184,3.208026647567749,4.053967952728272,5.114583015441895
451,cak_160,1.2369663156557194,,3,0.05,-12.659383196182684,0.1344306915998459,2.2908923625946045,3.082223415374756,3.972724914550781,5.023564338684082,6.141245365142822,7.02969217300415
575,adaptive_k10,,,4,0.05,-31.28121797229592,0.9135279655456544,6.779521942138672,7.433770656585693,7.756651401519775,7.919012546539307,7.984886169433594,7.984358310699463
575,adaptive_k25,,,4,0.05,-31.28121797229592,1.0925318002700806,7.291557312011719,7.700409889221191,7.899017333984375,7.986423015594482,7.990725994110107,7.967765808105469
575,adaptive_k50,,,4,0.05,-31.28121797229592,1.1987653970718384,7.527772426605225,7.833360195159912,7.970490455627441,7.999732494354248,7.976968288421631,7.9662346839904785
575,cak_40,0.5875134924921801,,4,0.05,-31.28121797229592,0.0214940309524536,0.4302678108215332,0.6818620562553406,1.0441511869430542,1.5424871444702148,2.1891191005706787,3.004466772079468
575,cak_80,0.7228981697763522,,4,0.05,-31.28121797229592,0.0633032396435737,0.9763614535331726,1.51309072971344,2.239520788192749,3.1753039360046387,4.302826881408691,5.466531276702881
575,cak_160,0.8963317535958467,,4,0.05,-31.28121797229592,0.1600357890129089,1.8793400526046755,2.797037124633789,3.929423570632935,5.172143936157227,6.262999534606934,7.007256507873535
699,adaptive_k10,,,5,0.05,-33.03765356029634,1.313065528869629,6.916774749755859,7.369442939758301,7.683835506439209,7.897884368896484,7.993424892425537,7.987000942230225
699,adaptive_k25,,,5,0.05,-33.03765356029634,1.4119420051574707,7.181793212890625,7.570074558258057,7.835407257080078,7.979259014129639,7.997806549072266,7.96907377243042
699,adaptive_k50,,,5,0.05,-33.03765356029634,1.513385534286499,7.353928565979004,7.707022190093994,7.926339149475098,8.002511978149414,7.985155582427978,7.968552589416504
