anchor,mix_ent,V,absorbed,dim,dataset,seed,ks_true
180,1.0646172,1.5682513154362143,1.0,3,saddle,2,-8.0
1435,0.049637314,0.49725719527907275,1.0,3,saddle,2,-8.0
1929,1.0790223,1.265961923308541,0.99999994,3,saddle,2,-8.0
1113,0.46079713,0.9091171180056203,1.0,3,saddle,2,-8.0
1363,0.51253223,0.9806837884079972,1.0,3,saddle,2,-8.0
108,0.8125244,1.2494016052456973,1.0000001,3,saddle,2,-8.0
657,0.41093066,0.9898251639060331,0.99999994,3,saddle,2,-8.0
584,0.0062870714,0.27850194348621615,1.0,3,saddle,2,-8.0
1301,0.8985728,1.2913434971282003,1.0,3,saddle,2,-8.0
780,0.6314338,1.3562718256905713,0.99999994,3,saddle,2,-8.0
1601,0.014905213,0.5505639013672825,1.0,3,saddle,2,-8.0
214,0.8360681,1.2946411838621659,0.99999994,3,saddle,2,-8.0
1102,0.71245825,1.0695795768122167,0.99999994,3,saddle,2,-8.0
542,1.1871606,1.378352996482394,1.0000001,3,saddle,2,-8.0
1737,0.111452386,0.9830441846738218,1.0,3,saddle,2,-8.0
1958,1.4578782,1.5122809834568276,1.0,3,saddle,2,-8.0
886,0.02104169,0.49306987819572057,1.0,3,saddle,2,-8.0
1348,0.6999177,1.164522983180564,1.0,3,saddle,2,-8.0
1330,0.67988044,0.918872996994115,1.0,3,saddle,2,-8.0
1180,0.7854638,1.3070676840708448,1.0,3,saddle,2,-8.0
1731,1.2530091,1.3294205199733538,0.9999999,3,saddle,2,-8.0
858,0.35968304,1.1641080266975292,1.0,3,saddle,2,-8.0
840,0.5233283,0.9430448199763087,1.0,3,saddle,2,-8.0
1260,0.43032804,1.098030420979039,1.0,3,saddle,2,-8.0
1486,0.6860708,1.1847770280480556,0.99999994,3,saddle,2,-8.0
398,0.9645144,1.4985333413593942,1.0,3,saddle,2,-8.0
514,0.6162007,1.1729577103184872,1.0,3,saddle,2,-8.0
373,0.23138924,0.6043514847359459,1.0,3,saddle,2,-8.0
369,0.9943995,1.2734792566597515,0.99999994,3,saddle,2,-8.0
1760,1.1082783,1.5812189207731568,1.0000001,3,saddle,3,-8.0
1453,0.63195634,1.6204611094491632,1.0,3,saddle,3,-8.0
77,0.44117606,1.2597333664924821,1.0,3,saddle,3,-8.0
