n_trajectories,manifold,gamma,temperature,ks_hat_mean,ks_true,n_visited,err
500,0,0.9,0.3,-1.301749348640442,-0.8196425268452683,1998,
500,0,0.9,0.5,-1.6820367574691772,-0.8196425268452683,1998,
500,0,0.9,1.0,-2.245687961578369,-0.8196425268452683,1998,
500,0,0.9,2.0,-2.8435730934143066,-0.8196425268452683,1998,
500,0,0.9,5.0,-3.6482326984405518,-0.8196425268452683,1998,
500,1,0.9,0.1,-0.6601940989494324,0.985907040841777,2000,
500,1,0.9,0.3,-1.3291714191436768,0.985907040841777,2000,
500,1,0.9,0.5,-1.7186388969421387,0.985907040841777,2000,
500,1,0.9,1.0,-2.2881343364715576,0.985907040841777,2000,
500,1,0.9,2.0,-2.8775174617767334,0.985907040841777,2000,
500,1,0.9,5.0,-3.6656746864318848,0.985907040841777,2000,
500,2,0.9,0.1,-0.6138439178466797,3.2549158116616614,2000,
500,2,0.9,0.3,-1.2454372644424438,3.2549158116616614,2000,
500,2,0.9,0.5,-1.6242790222167969,3.2549158116616614,2000,
500,2,0.9,1.0,-2.194201707839966,3.2549158116616614,2000,
500,2,0.9,2.0,-2.7977027893066406,3.2549158116616614,2000,
500,2,0.9,5.0,-3.6124184131622314,3.2549158116616614,2000,
500,3,0.9,0.1,-0.6569004058837891,-2.414158761165222,2000,
500,3,0.9,0.3,-1.3143376111984253,-2.414158761165222,2000,
500,3,0.9,0.5,-1.6978803873062134,-2.414158761165222,2000,
500,3,0.9,1.0,-2.2602367401123047,-2.414158761165222,2000,
500,3,0.9,2.0,-2.8517510890960693,-2.414158761165222,2000,
500,3,0.9,5.0,-3.6576483249664307,-2.414158761165222,2000,
500,4,0.9,0.1,-0.7280980348587036,-11.758894814807261,2000,
500,4,0.9,0.3,-1.410580039024353,-11.758894814807261,2000,
500,4,0.9,0.5,-1.7992162704467773,-11.758894814807261,2000,
500,4,0.9,1.0,-2.360060691833496,-11.758894814807261,2000,
500,4,0.9,2.0,-2.934213161468506,-11.758894814807261,2000,
500,4,0.9,5.0,-3.702270269393921,-11.758894814807261,2000,
500,5,0.9,0.1,-0.6951225399971008,-4.451101744112791,2000,
500,5,0.9,0.3,-1.3600883483886719,-4.451101744112791,2000,
500,5,0.9,0.5,-1.736490249633789,-4.451101744112791,2000,
500,5,0.9,1.0,-2.2936806678771973,-4.451101744112791,2000,
500,5,0.9,2.0,-2.875448226928711,-4.451101744112791,2000,
500,5,0.9,5.0,-3.6528332233428955,-4.451101744112791,2000,
500,6,0.9,0.1,-0.7309927940368652,-9.759001738234947,2000,
500,6,0.9,0.3,-1.4133594036102295,-9.759001738234947,2000,
500,6,0.9,0.5,-1.7947089672088623,-9.759001738234947,2000,
