n_trajectories,manifold,tau,ks_hat_mean,ks_true,n_visited,err
2000,7,0.2,-6.479782569408417,-4.771754926468648,2000,
2000,7,0.3,-6.629277531147003,-4.771754926468648,2000,
2000,7,0.5,-6.809643520593643,-4.771754926468648,2000,
2000,8,0.2,-5.8687081758975985,4.234469729385937,2000,
2000,8,0.3,-6.070458809614181,4.234469729385937,2000,
2000,8,0.5,-6.337649503231049,4.234469729385937,2000,
2000,9,0.2,-6.391010089159012,16.253215928506282,2000,
2000,9,0.3,-6.561373122692109,16.253215928506282,2000,
2000,9,0.5,-6.772032458782196,16.253215928506282,2000,
2000,10,0.2,-6.462483515024185,-1.4095182596702143,2000,
2000,10,0.3,-6.614148331165314,-1.4095182596702143,2000,
2000,10,0.5,-6.802660615205765,-1.4095182596702143,2000,
2000,11,0.2,-6.41444425034523,7.377026983785799,2000,
2000,11,0.3,-6.577102927207947,7.377026983785799,2000,
2000,11,0.5,-6.779916379928589,7.377026983785799,2000,
2000,12,0.2,-5.906502542734146,-1.2518239035298682,2000,
2000,12,0.3,-6.0889019243717195,-1.2518239035298682,2000,
2000,12,0.5,-6.339452342033386,-1.2518239035298682,2000,
2000,13,0.2,-6.433417514324188,19.279142032357573,2000,
2000,13,0.3,-6.583575684785843,19.279142032357573,2000,
2000,13,0.5,-6.768380606651307,19.279142032357573,2000,
2000,14,0.2,-6.392497079133987,4.0408735225921735,2000,
2000,14,0.3,-6.561447531700134,4.0408735225921735,2000,
2000,14,0.5,-6.772284031867981,4.0408735225921735,2000,
2000,15,0.2,-6.456930642843246,-3.9127478258815174,2000,
2000,15,0.3,-6.612040753602981,-3.9127478258815174,2000,
2000,15,0.5,-6.802044320344925,-3.9127478258815174,2000,
2000,16,0.2,-5.987374400615692,-4.499597219025709,2000,
2000,16,0.3,-6.179110584974289,-4.499597219025709,2000,
2000,16,0.5,-6.4300271201133725,-4.499597219025709,2000,
2000,17,0.2,-6.551735444068909,7.1679435744042586,2000,
2000,17,0.3,-6.681470705747604,7.1679435744042586,2000,
2000,17,0.5,-6.838157493829727,7.1679435744042586,2000,
2000,18,0.2,-6.331840500593185,5.673359530031444,2000,
2000,18,0.3,-6.507276483774185,5.673359530031444,2000,
2000,18,0.5,-6.730032569885254,5.673359530031444,2000,
2000,19,0.2,-6.387838394880295,5.550922179468609,2000,
2000,19,0.3,-6.559346086740494,5.550922179468609,2000,
2000,19,0.5,-6.774633022069931,5.550922179468609,2000,
5000,0,0.2,-6.220482559800148,-17.664154673944296,2000,
5000,0,0.3,-6.37551931655407,-17.664154673944296,2000,
5000,0,0.5,-6.579289962530136,-17.664154673944296,2000,
5000,1,0.2,-6.393330856323242,-9.752893017945407,2000,
5000,1,0.3,-6.555396124124527,-9.752893017945407,2000,
5000,1,0.5,-6.762115652799606,-9.752893017945407,2000,
5000,2,0.2,-6.437999433755874,6.782030357207869,2000,
5000,2,0.3,-6.597342962503434,6.782030357207869,2000,
5000,2,0.5,-6.792436592817307,6.782030357207869,2000,
5000,3,0.2,-6.373979027748108,2.9099346852854566,2000,
5000,3,0.3,-6.547803236007691,2.9099346852854566,2000,
5000,3,0.5,-6.762973106861114,2.9099346852854566,2000,
5000,4,0.2,-5.743480980396271,-1.1117414400607863,2000,
5000,4,0.3,-5.941622895002365,-1.1117414400607863,2000,
5000,4,0.5,-6.202846345663071,-1.1117414400607863,2000,
5000,5,0.2,-5.800065621137619,-1.0741749613034777,2000,
5000,5,0.3,-5.995574950933457,-1.0741749613034777,2000,
5000,5,0.5,-6.251594824552536,-1.0741749613034777,2000,
5000,6,0.2,-6.4780287992954255,-3.348655608211125,2000,
5000,6,0.3,-6.633659471750259,-3.348655608211125,2000,
5000,6,0.5,-6.815638954877853,-3.348655608211125,2000,
5000,7,0.2,-6.466079836606979,-4.771754926468648,2000,
5000,7,0.3,-6.6174016585350035,-4.771754926468648,2000,
5000,7,0.5,-6.8047494366168975,-4.771754926468648,2000,
5000,8,0.2,-6.485975674629211,4.234469729385937,2000,
5000,8,0.3,-6.633471741199493,4.234469729385937,2000,
5000,8,0.5,-6.815958140611649,4.234469729385937,2000,
5000,9,0.2,-6.472312756061554,16.253215928506282,2000,
5000,9,0.3,-6.620806093454361,16.253215928506282,2000,
5000,9,0.5,-6.804418407440186,16.253215928506282,2000,
5000,10,0.2,-6.344112176418305,-1.4095182596702143,2000,
5000,10,0.3,-6.51112190580368,-1.4095182596702143,2000,
5000,10,0.5,-6.725221216917038,-1.4095182596702143,2000,
5000,11,0.2,-6.385416395187378,7.377026983785799,2000,
5000,11,0.3,-6.554646553277969,7.377026983785799,2000,
5000,11,0.5,-6.764892165899277,7.377026983785799,2000,
