instance,dataset,err,name,dim,noise,m,shape,ks_true,n_points,kappa_plus,frac,ent,t_ent,mu_k,sd_k,mu_f,sd_f,mu_e,sd_e,z_plus,z_frac,z_ent,S_diff,c_off,K_cal,S3,K_gated,S_sel,kappa_only,frac_only,ent_only
267,sadspheres,,6-Saddle,6,0.0,,Saddle,-24.0,2000,0.5256629367917957,1.0,7.428994178771973,1,0.4403097779431379,0.03220084053120525,1.0,0.001,7.411487770080567,0.017972432815363915,2.6506500277824596,0.0,-0.9740700589204897,2.6506500277824596,-3.4741812645000856,2.500111205579596,1.67657996886197,2.500111205579596,2.6506500277824596,2.6506500277824596,-0.0,-0.9740700589204897
361,colosseum,,d2-c1-n0.1-m1,2,0.1,1.0,,9.449520693307583,3000,0.0001133767708279,0.0125,6.317070960998535,5,0.00745966836540488,0.029911808688745024,0.0175,0.07424911470504386,6.107825676600139,0.06548721937029274,-0.24559837457576358,-0.06734087025633374,-3.1952079567653375,-0.17825750431942983,17.84854427726374,-21.04375223402908,-3.373465461084767,-21.04375223402908,0.0,-0.24559837457576358,0.06734087025633374,-3.1952079567653375
485,colosseum,,d3-c1-n0.1-m5,3,0.1,5.0,,-20.52226204708142,3000,-0.1323725979941758,0.425,5.637299537658691,1,-0.13339043664545883,0.05156161832448258,0.9383333333333332,0.051688445539586986,5.066208426157633,0.13114770066697495,0.01974023865732175,-9.931297565143124,-4.354564423140267,9.951037803800446,-8.572943850824748,4.218379427684481,5.596473380660179,4.218379427684481,0.0,0.01974023865732175,9.931297565143124,-4.354564423140267
609,colosseum,,d4-c1-n0.1-m9,4,0.1,9.0,,-0.0842488264840803,3000,0.0738317888926479,0.2625,6.748694896697998,1,-0.09327934569536739,0.10507114599649368,0.98125,0.029680409770384428,6.558955891927083,0.10374396549364048,1.5904569518409168,-24.216309867702023,-1.8289160614604199,25.80676681954294,-4.153213011016678,2.3242969495562584,23.97785075808252,2.3242969495562584,1.5904569518409168,1.5904569518409168,24.216309867702023,-1.8289160614604199
733,colosseum,,d5-c1-n0.1-m13,5,0.1,13.0,,-36.53140813846787,3000,0.0360129958950916,1.0,7.047421455383301,1,0.15121377023799723,0.061370690979241846,1.0,0.001,7.499305057525635,0.034443214345206905,-1.8771301496649497,0.0,13.119669889497919,-1.8771301496649497,8.215329936481377,4.904339953016542,11.242539739832969,-4.904339953016542,0.0,-1.8771301496649497,-0.0,13.119669889497919
872,colosseum,,d6-c1-n0.2-m2,6,0.2,2.0,,-31.49232593408417,3000,-0.4372295623786896,1.0,7.390102386474609,1,0.2241901802541967,0.07050366417352924,1.0,0.001,7.769206523895264,0.018084087986785728,-9.381352733738026,0.0,20.96340925224819,-9.381352733738026,27.691041503086346,-6.727632250838155,11.582056518510164,-6.727632250838155,0.0,-9.381352733738026,-0.0,20.96340925224819
12,sadspheres,,2-Saddle,2,0.0,,Saddle,-8.0,2000,-0.1058174453380012,0.0,5.952922344207764,7,-0.005977246090684373,0.02826436714094643,0.004166666666666667,0.016522363806281668,5.660355265935262,0.08926540042406504,-3.5323698828791006,-0.2521834475695623,-3.277496957193151,-3.2801864353095382,-1.2713470918351053,-2.006149865358046,-6.557683392502689,-2.006149865358046,0.0,-3.5323698828791006,0.2521834475695623,-3.277496957193151
76,sadspheres,,3-Sphere,3,0.0,,Sphere,2.0,2000,0.1975358744880298,0.0,4.839529514312744,1,-0.01156080209928355,0.03955325840848126,0.995,0.010170952554312156,5.097828801472982,0.12915953654581017,5.2864589417107934,-97.82761198489241,1.999846810139525,103.1140709266032,-1.3577360417348654,3.3575828518743904,105.11391773674274,3.3575828518743904,5.2864589417107934,5.2864589417107934,97.82761198489241,1.999846810139525
140,sadspheres,,4-Plane,4,0.0,,Plane,0.0,2000,0.0557970743830808,1.0,6.529640197753906,1,0.10307559745691662,0.0729677896994548,0.9845833333333334,0.019332429130659076,6.539523998896281,0.08017770116711977,-0.6479368947390368,0.7974510891762443,0.12327369079556796,-1.445387983915281,3.4214661598231677,-3.2981924690275997,-1.3221142931197132,-3.2981924690275997,0.0,-0.6479368947390368,-0.7974510891762443,0.12327369079556796
204,sadspheres,,5-Saddle,5,0.0,,Saddle,-16.0,2000,0.165576683074738,1.0,7.272221565246582,1,0.2888645288180819,0.036398824889933575,1.0,0.001,7.24161589940389,0.030860609135372682,-3.3871380770163344,0.0,-0.9917388768457969,-3.3871380770163344,0.44206639580325935,-1.4338052726490562,-4.3788769538621315,-1.4338052726490562,0.0,-3.3871380770163344,-0.0,-0.9917388768457969
