instance,n_traj,method,score_origin,score_mean,coverage,err,name,dim,noise,m,ks_true
733,500,shortcut_odd_q60,926.548847011508,691.9809219099071,0.998,,d5-c1-n0.1-m13,5,0.1,13,-36.53140813846787
750,500,shortcut_odd_q60,907.7730459278084,815.6064809258005,0.996,,d5-c1-n0.2-m0,5,0.2,0,-64.8943072100459
752,500,shortcut_odd_q60,1026.3534494491523,850.9803166655581,0.996,,d5-c1-n0.2-m2,5,0.2,2,-8.878799685305857
754,500,shortcut_odd_q60,898.848308524678,751.6431513031791,0.996,,d5-c1-n0.2-m4,5,0.2,4,-4.946768816439207
756,500,shortcut_odd_q60,748.6897274216846,627.3086312501362,0.998,,d5-c1-n0.2-m6,5,0.2,6,-36.6631065153695
758,500,shortcut_odd_q60,662.0321818004657,807.0414721632249,0.997,,d5-c1-n0.2-m8,5,0.2,8,-31.847402516207318
760,500,shortcut_odd_q60,705.320705801967,908.6474692943436,0.997,,d5-c1-n0.2-m10,5,0.2,10,-38.9177710392795
762,500,shortcut_odd_q60,962.2116703817508,843.394253877851,0.995,,d5-c1-n0.2-m12,5,0.2,12,-19.633812002494803
764,500,shortcut_odd_q60,813.6183005968902,799.9971180003942,0.996,,d5-c1-n0.2-m14,5,0.2,14,19.863413883002544
781,500,shortcut_odd_q60,692.7885481839711,865.2743230560025,0.997,,d6-c1-n0.01-m1,6,0.01,1,2.310630032127137
783,500,shortcut_odd_q60,613.2702031197389,794.940646472883,0.999,,d6-c1-n0.01-m3,6,0.01,3,-42.99969305482514
785,500,shortcut_odd_q60,980.7942085604228,812.243143163554,0.998,,d6-c1-n0.01-m5,6,0.01,5,-25.903753117337263
787,500,shortcut_odd_q60,548.695503759995,817.1935541873981,0.998,,d6-c1-n0.01-m7,6,0.01,7,-45.17999519324027
789,500,shortcut_odd_q60,711.3630874299454,818.8908549041065,0.997,,d6-c1-n0.01-m9,6,0.01,9,-43.329784414216405
791,500,shortcut_odd_q60,791.3366872326656,766.3922575208354,0.997,,d6-c1-n0.01-m11,6,0.01,11,13.844805645269425
793,500,shortcut_odd_q60,763.346613753871,760.5969584633834,0.999,,d6-c1-n0.01-m13,6,0.01,13,-76.44652684559905
810,500,shortcut_odd_q60,533.3221923219728,815.1518989464324,0.994,,d6-c1-n0.05-m0,6,0.05,0,-50.04826371600894
812,500,shortcut_odd_q60,812.533059301111,687.2921552975919,0.998,,d6-c1-n0.05-m2,6,0.05,2,-45.10090508696406
814,500,shortcut_odd_q60,797.4610922315837,850.3624967058349,0.998,,d6-c1-n0.05-m4,6,0.05,4,-47.9480359713048
816,500,shortcut_odd_q60,766.2042302001989,820.0262522402218,0.998,,d6-c1-n0.05-m6,6,0.05,6,20.366556504039107
818,500,shortcut_odd_q60,686.3460057821185,845.5150411559416,0.997,,d6-c1-n0.05-m8,6,0.05,8,-41.17873865452874
820,500,shortcut_odd_q60,730.9841506417242,859.6366399556722,0.999,,d6-c1-n0.05-m10,6,0.05,10,-44.84909729317228
822,500,shortcut_odd_q60,682.4072863183068,859.9180000577395,0.995,,d6-c1-n0.05-m12,6,0.05,12,-7.917380679276863
824,500,shortcut_odd_q60,800.8562774411462,953.5294726050156,0.995,,d6-c1-n0.05-m14,6,0.05,14,-23.73030057471971
841,500,shortcut_odd_q60,734.6148964771137,758.3256660661139,0.999,,d6-c1-n0.1-m1,6,0.1,1,-28.27057085781108
843,500,shortcut_odd_q60,571.333260678126,839.5653647532766,0.997,,d6-c1-n0.1-m3,6,0.1,3,-67.23454284811166
845,500,shortcut_odd_q60,711.8664406097998,869.0638978277927,0.996,,d6-c1-n0.1-m5,6,0.1,5,-16.385632508942592
847,500,shortcut_odd_q60,1000.916872269746,763.0240623781591,0.998,,d6-c1-n0.1-m7,6,0.1,7,-52.04537163029244
849,500,shortcut_odd_q60,959.7644850838908,714.5954422179141,0.997,,d6-c1-n0.1-m9,6,0.1,9,-69.16244751925056
851,500,shortcut_odd_q60,921.33656150436,864.1368829542253,0.997,,d6-c1-n0.1-m11,6,0.1,11,-9.528899156859143
853,500,shortcut_odd_q60,450.51300032523807,801.3446665003592,0.998,,d6-c1-n0.1-m13,6,0.1,13,-28.91830997833552
870,500,shortcut_odd_q60,624.9447874748498,855.0837822701526,0.995,,d6-c1-n0.2-m0,6,0.2,0,-34.693294949412
872,500,shortcut_odd_q60,724.4862019630912,803.189473244136,0.996,,d6-c1-n0.2-m2,6,0.2,2,-31.49232593408417
874,500,shortcut_odd_q60,892.4690418034043,894.639431994816,0.994,,d6-c1-n0.2-m4,6,0.2,4,-3.968806191274376
876,500,shortcut_odd_q60,808.0900121073239,768.953587847882,0.997,,d6-c1-n0.2-m6,6,0.2,6,-71.87814112792898
878,500,shortcut_odd_q60,565.9875959696526,757.8269479663054,0.999,,d6-c1-n0.2-m8,6,0.2,8,-31.98985941612672
880,500,shortcut_odd_q60,795.6161197035844,805.8258906022189,0.997,,d6-c1-n0.2-m10,6,0.2,10,76.14894406390464
882,500,shortcut_odd_q60,996.4965401166083,758.5163431374215,0.999,,d6-c1-n0.2-m12,6,0.2,12,-34.46401744692712
884,500,shortcut_odd_q60,715.6640584103393,804.6254220114475,0.996,,d6-c1-n0.2-m14,6,0.2,14,-48.22651622007661
