instance,point,kind,dim,noise,seed,ks_true,sent
114,390,hyperbolic,3,0.0,2,-96.93056724706406,7.117744965308916
114,1250,hyperbolic,3,0.0,2,-96.93056724706406,7.172583035189257
114,1219,hyperbolic,3,0.0,2,-96.93056724706406,7.155611851121879
114,446,hyperbolic,3,0.0,2,-96.93056724706406,7.119200202507287
114,676,hyperbolic,3,0.0,2,-96.93056724706406,7.088056464528649
114,619,hyperbolic,3,0.0,2,-96.93056724706406,7.1075034839821285
114,163,hyperbolic,3,0.0,2,-96.93056724706406,7.096161394378992
115,137,hyperbolic,3,0.05,2,-96.93056724706406,7.1067095495943615
115,390,hyperbolic,3,0.05,2,-96.93056724706406,7.122488991499131
115,1250,hyperbolic,3,0.05,2,-96.93056724706406,7.174537586431587
115,1219,hyperbolic,3,0.05,2,-96.93056724706406,7.155978814305429
115,446,hyperbolic,3,0.05,2,-96.93056724706406,7.123268722518783
115,676,hyperbolic,3,0.05,2,-96.93056724706406,7.0921195445025
115,619,hyperbolic,3,0.05,2,-96.93056724706406,7.112341427706957
115,163,hyperbolic,3,0.05,2,-96.93056724706406,7.098636460384188
116,137,hyperbolic,3,0.15,2,-96.93056724706406,7.130382839235805
116,390,hyperbolic,3,0.15,2,-96.93056724706406,7.141817521035725
116,1250,hyperbolic,3,0.15,2,-96.93056724706406,7.185850862689837
116,1219,hyperbolic,3,0.15,2,-96.93056724706406,7.16841319833589
116,446,hyperbolic,3,0.15,2,-96.93056724706406,7.144437576595134
116,676,hyperbolic,3,0.15,2,-96.93056724706406,7.114175282637838
116,619,hyperbolic,3,0.15,2,-96.93056724706406,7.137460293934755
116,163,hyperbolic,3,0.15,2,-96.93056724706406,7.118456394848373
117,1269,torus,3,0.0,0,0.0,7.188113383414191
117,112,torus,3,0.0,0,0.0,7.190550848364245
117,24,torus,3,0.0,0,0.0,7.189270959244998
117,764,torus,3,0.0,0,0.0,7.17971505333378
117,460,torus,3,0.0,0,0.0,7.199217985755489
117,403,torus,3,0.0,0,0.0,7.184840392553208
117,61,torus,3,0.0,0,0.0,7.189726567017707
117,951,torus,3,0.0,0,0.0,7.196845245532386
118,1269,torus,3,0.05,0,0.0,7.188724340033126
118,112,torus,3,0.05,0,0.0,7.191024414456376
118,24,torus,3,0.05,0,0.0,7.190736926069912
118,764,torus,3,0.05,0,0.0,7.1785724230017856
118,460,torus,3,0.05,0,0.0,7.197892350908562
118,403,torus,3,0.05,0,0.0,7.184583413088216
118,61,torus,3,0.05,0,0.0,7.19230827589508
118,951,torus,3,0.05,0,0.0,7.196537173348574
119,1269,torus,3,0.15,0,0.0,7.189768090537395
119,112,torus,3,0.15,0,0.0,7.192507039894228
119,24,torus,3,0.15,0,0.0,7.192746990478513
119,764,torus,3,0.15,0,0.0,7.178540884191787
119,460,torus,3,0.15,0,0.0,7.197586795503176
119,403,torus,3,0.15,0,0.0,7.186668850891022
119,61,torus,3,0.15,0,0.0,7.197885009545531
