kind_ok,m,rate_deform,rate_channel,static_score,ks,delocal_r,kind,dim,seed,rq,point
1.0,60,-0.0001436507041228626,4.786969973006686e-07,5.1828283158152164e-05,42.53451230919032,-0.0248364598304783,necklace,3,0,0.05,1003
1.0,60,8.5861849778777e-05,6.942145382993203e-07,0.00464320641157264,42.973394272077094,0.011834291785078343,necklace,3,0,0.05,1057
1.0,60,0.0001600825424380289,-1.256103233870931e-06,0.0013235554047538846,43.5825283692948,-0.018779471729633804,necklace,3,0,0.05,461
1.0,60,-0.0018219417915918083,-6.22410791883965e-06,-0.00559815804362351,43.973034800192835,-0.013511441062509877,necklace,3,0,0.05,593
1.0,60,3.194915174417696e-05,-5.161218966283817e-07,-0.0018782120795075828,44.32060317451704,-0.034519972023439614,necklace,3,0,0.05,1084
1.0,60,5.7979300199619464e-05,-4.385226143692004e-07,-0.0009129865908762377,44.54797494008782,0.06625535854925103,necklace,3,0,0.05,368
1.0,60,0.00021010083874967167,-2.886584923681805e-07,0.003837265437626256,44.68619125295117,-0.11603700413911607,necklace,3,0,0.05,1030
1.0,60,0.0,0.0,0.0,44.77956922998921,,necklace,3,0,0.05,935
1.0,60,2.3797362621730267e-05,6.704352835858647e-08,-0.0008686658387302886,44.855584484546554,0.01728186189621767,necklace,3,0,0.05,600
1.0,60,-0.0009339287377407949,3.334710806749778e-07,0.0005822913252594352,44.87556147410779,0.03715680276347684,necklace,3,0,0.05,855
1.0,90,-0.0011210125384259041,3.1325417415573042e-06,-0.009749197664920894,-111.5462967308825,-0.04677410023113972,necklace,3,0,0.075,281
1.0,90,-0.0007111445660911708,-1.059394248178099e-06,0.000782333874522807,-98.87541271215034,-0.043959185519530444,necklace,3,0,0.075,1091
1.0,90,0.00038924832749516193,-5.28605369609636e-06,-0.009127812909300035,-62.08550438615729,0.02360054844572116,necklace,3,0,0.075,773
1.0,90,0.00011192275998191165,-1.0680087620211036e-06,-0.0033403588474876914,-43.004832492773005,0.017558582875435415,necklace,3,0,0.075,58
1.0,90,0.00033931347926510205,8.266720860442925e-07,-0.003301411797642816,-30.70483357309919,-0.01038837779106282,necklace,3,0,0.075,691
1.0,90,-0.002385342367686199,-3.2619959731879553e-06,-0.004974978945768436,-15.012228157171593,-0.04997420948375876,necklace,3,0,0.075,342
1.0,90,-0.003971218682834652,1.0479873004953788e-05,0.0005852369930961642,-6.5402548612096,-0.10055953946691026,necklace,3,0,0.075,1171
