readout,dest,m,pool,p,value,ks,kind,dim,seed,dist
resid_n,true,30,single,549,0.004764662013757273,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,549,0.0016482207622212938,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,549,0.0019552143038834577,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,549,0.004764662013757273,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,549,0.0016482207622212938,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,141,0.003591093948225223,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,141,0.00666566102094602,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,141,0.0030615484901900148,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,141,0.003591093948225223,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,141,0.00666566102094602,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,141,0.0030615484901900148,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,447,0.002612599868355569,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,447,0.005238377933418893,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,447,0.0018970608043480013,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,447,0.002612599868355569,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,447,0.005238377933418893,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,447,0.0018970608043480013,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,single,0,0.0016442751679045116,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,single,0,0.004541655583098755,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,single,0,0.0011021010731843304,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,single,0,0.0016442751679045116,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,single,0,0.004541655583098755,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,single,0,0.0011021010731843304,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,618,0.003909508131191152,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,618,0.006141847970266203,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,618,0.003711502824978283,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,618,0.003909508131191152,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,618,0.006141847970266203,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,618,0.003711502824978283,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,237,0.005259129865712441,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,237,0.007252854798637163,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,237,0.004081580704785103,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,237,0.005259129865712441,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,237,0.007252854798637163,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,237,0.004081580704785103,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,334,0.011716208360048731,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,334,0.011458474159386445,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,334,0.009872699709868229,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,334,0.011716208360048731,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,334,0.011458474159386445,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,334,0.009872699709868229,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,243,0.004673326768971414,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,243,0.00681180525374949,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,243,0.004303113388484298,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,243,0.004673326768971414,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,243,0.00681180525374949,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,243,0.004303113388484298,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,219,0.00750555548385065,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,219,0.008229023260221853,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,219,0.005491034645140695,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,219,0.00750555548385065,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,219,0.008229023260221853,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,219,0.005491034645140695,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,649,0.00774389075974052,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,649,0.00961278460662922,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,649,0.007151046423890995,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,649,0.00774389075974052,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,649,0.00961278460662922,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,est,30,jitter,649,0.007151046423890995,-8.956077783870782,hyperbolic,2,0,exact
resid,true,30,jitter,1078,0.00558191420552346,-8.956077783870782,hyperbolic,2,0,exact
resid_n,true,30,jitter,1078,0.007657102491189413,-8.956077783870782,hyperbolic,2,0,exact
lam_d1,true,30,jitter,1078,0.004647094041415254,-8.956077783870782,hyperbolic,2,0,exact
resid,est,30,jitter,1078,0.00558191420552346,-8.956077783870782,hyperbolic,2,0,exact
resid_n,est,30,jitter,1078,0.007657102491189413,-8.956077783870782,hyperbolic,2,0,exact
