anchor,ks,gamma,V,goal_acc,kappa0,frac0,ent0,kappaw,fracw,entw,kind,dim,seed,mode
42,44.312955863146314,0.99,0.4073756786897062,1.0,0.28730218867797536,0.0,5.071758270263672,0.3960209598853423,0.0625,4.397947311401367,dumbbell,3,0,proxy
836,44.89688883831238,0.99,0.0,1.0,0.1700271816921612,0.0,4.903633117675781,-0.1272692175881585,0.0,3.016353130340576,dumbbell,3,0,proxy
198,45.49239635782935,0.99,0.41160570654733214,1.0,0.44555002993382936,0.25,5.026820182800293,0.21385148927209569,0.0,4.849913597106934,dumbbell,3,0,proxy
724,45.81502293129721,0.99,0.8038589625851034,1.0,0.15295426651126304,0.0625,5.154259204864502,0.666043459381074,0.0,3.5063724517822266,dumbbell,3,0,proxy
439,46.19172058564673,0.99,0.17831252415513457,1.0,-0.27227084799466184,0.0,4.9770402908325195,0.26548262841179715,0.0,4.787431716918945,dumbbell,3,0,proxy
1459,46.49110298165155,0.99,0.38230917431000117,1.0,-0.08209858555141375,0.125,5.268154144287109,0.22749114718612695,0.0,5.25432014465332,dumbbell,3,0,proxy
813,46.73060276940405,0.99,0.44482790304986475,1.0,0.17572028194770303,0.0,5.124312400817871,0.26995070513785613,0.0,4.9647674560546875,dumbbell,3,0,proxy
384,46.86483530289183,0.99,0.7306345661733292,1.0,0.2608816067937887,0.125,5.226502418518066,0.5352609786249425,0.0,4.929412841796875,dumbbell,3,0,proxy
676,-123.73268824969645,0.95,0.3545935733754987,0.9,0.13777616890441358,0.9375,5.982611656188965,-0.03211724730804413,0.875,4.494564056396484,dumbbell,3,0,random
535,-52.756128616739964,0.95,0.338302532168296,0.9,0.17504074280061066,0.6875,5.554250240325928,-0.013556544174641916,0.0,5.1333441734313965,dumbbell,3,0,random
612,-14.869072970510835,0.95,0.2594891915866109,0.9,-0.22016146408990184,0.4375,5.534523010253906,-0.2617087847202856,0.875,4.033657550811768,dumbbell,3,0,random
894,5.431549965527312,0.95,0.2882380099646803,0.9,0.011712620049715503,0.25,5.281321048736572,0.35216013303213106,0.0625,4.794381141662598,dumbbell,3,0,random
1380,9.298448521830508,0.95,0.0,0.9,0.5344446413219259,0.0,5.10643196105957,0.8040611713275678,0.0,3.8180742263793945,dumbbell,3,0,random
1044,9.734029362206519,0.95,0.37709389740531746,0.9,0.4351388675471567,0.0,5.132402420043945,0.7814299036042844,0.0,5.17680549621582,dumbbell,3,0,random
545,10.187353512545416,0.95,0.1469074325121467,0.9,0.4474960306334227,0.0,5.062822341918945,0.667186787572334,0.0,4.23085355758667,dumbbell,3,0,random
539,10.727248684091858,0.95,0.23661553292500642,0.9,0.564736115106419,0.0,5.082959175109863,0.32084959406759156,0.0,4.158835411071777,dumbbell,3,0,random
308,11.290719418418739,0.95,0.39160329151602546,0.9,0.5058837087712185,0.0,5.2476067543029785,0.6916754047418898,0.0,5.224422454833984,dumbbell,3,0,random
1211,11.816860442950112,0.95,0.4027237273050942,0.9,0.5040453527046498,0.0,5.170158386230469,0.5689313206455173,0.0,5.246949195861816,dumbbell,3,0,random
592,12.353508287602647,0.95,0.18859471379754686,0.9,0.5066326787840767,0.0,5.149140357971191,0.15284624241621989,0.0,4.59970760345459,dumbbell,3,0,random
922,13.08481043363165,0.95,0.25044042596347393,0.9,0.5640620003401472,0.0,5.072137355804443,0.23547827875663646,0.125,4.536820411682129,dumbbell,3,0,random
623,13.896615576072982,0.95,0.39963214687419735,0.9,0.4960865641787035,0.0,5.1881818771362305,0.6243390678096821,0.0,5.1193132400512695,dumbbell,3,0,random
31,14.795506979544653,0.95,0.14196980294626,0.9,0.5516928773770023,0.0,5.138279914855957,0.5681866514024119,0.0,4.473358154296875,dumbbell,3,0,random
978,15.885198393084211,0.95,0.09019374694506391,0.9,0.512302774730724,0.0,5.201153755187988,0.5341771987471486,0.0,4.660056114196777,dumbbell,3,0,random
1224,17.139955319129093,0.95,0.41690906365179614,0.9,0.5052806511365759,0.0,5.097555637359619,0.6728067322827651,0.0,4.880218505859375,dumbbell,3,0,random
1356,17.86444450248348,0.95,0.21547179823613208,0.9,0.45332387503923216,0.0,5.09396505355835,0.062500634951703,0.1875,4.678457260131836,dumbbell,3,0,random
183,18.790907677459302,0.95,0.19564439530297748,0.9,0.5582445656517151,0.0,5.183116912841797,0.4780734189516681,0.0,4.742559909820557,dumbbell,3,0,random
770,19.693368211359815,0.95,0.30171083655263187,0.9,0.4946939059784734,0.0,5.06705379486084,0.3289836057760276,0.0,4.919281959533691,dumbbell,3,0,random
1450,21.192398490167747,0.95,0.05298150211472449,0.9,0.4312964313687968,0.0,4.975444316864014,0.6672535083174852,0.0,3.9875717163085938,dumbbell,3,0,random
1297,22.183995958877667,0.95,0.29270702656792136,0.9,0.4102029863763449,0.0,5.025828838348389,0.4450851197643488,0.0,4.984506607055664,dumbbell,3,0,random
329,23.563035656854442,0.95,0.4629465947309814,0.9,0.5258972226305196,0.0,5.224118709564209,0.7442921311488807,0.0,4.910989284515381,dumbbell,3,0,random
