anchor,ks,V,ent0,entw,frac0,fracw,d_ent,d_frac,kind,dim,seed,mode,goal_acc
1276,34.1843108755044,0.2933787999606854,6.188558,4.6646028,0.0,0.9375,-1.5239553,0.9375,dumbbell,3,1,proxy,1.0
1383,35.206993937883354,0.833938708653719,6.3055553,3.5109718,0.0,0.875,-2.7945836,0.875,dumbbell,3,1,proxy,1.0
1192,36.345127268084376,0.9686176563008015,6.252564,3.9433177,0.0,0.75,-2.3092463,0.75,dumbbell,3,1,proxy,1.0
1321,37.634705758685435,1.1710391783642597,6.379958,5.274331,0.0625,1.0,-1.1056271,0.9375,dumbbell,3,1,proxy,1.0
760,38.54055118037615,1.0105488100290363,6.487177,4.832099,0.1875,0.875,-1.6550779,0.6875,dumbbell,3,1,proxy,1.0
1041,39.397805857426825,0.0,6.110914,4.006666,0.0,0.0625,-2.104248,0.0625,dumbbell,3,1,proxy,1.0
653,40.04371910936756,0.943472368246421,6.251623,4.173576,0.0,1.0,-2.0780473,1.0,dumbbell,3,1,proxy,1.0
165,41.03326909941983,0.5709691225575508,6.33125,4.2067738,0.0,0.3125,-2.1244764,0.3125,dumbbell,3,1,proxy,1.0
532,41.9896765497902,1.0052257879606272,6.3215275,4.0450363,0.0625,0.6875,-2.2764912,0.625,dumbbell,3,1,proxy,1.0
521,42.771220424279555,0.6545239003207727,6.4160085,3.3469112,0.0,0.625,-3.0690973,0.625,dumbbell,3,1,proxy,1.0
623,43.50585249952724,1.0809890250570193,6.558316,5.0307827,0.0,1.0,-1.5275335,1.0,dumbbell,3,1,proxy,1.0
536,44.24575358006882,0.8486366049495031,6.4957724,4.5193033,0.125,0.9375,-1.976469,0.8125,dumbbell,3,1,proxy,1.0
980,44.96186263767312,0.9410433128817031,6.353712,4.36505,0.0,0.9375,-1.9886622,0.9375,dumbbell,3,1,proxy,1.0
1306,45.48967007340306,0.5845618312644896,6.398469,3.7660544,0.0625,0.75,-2.6324146,0.6875,dumbbell,3,1,proxy,1.0
314,45.874420822177264,0.4673267054641802,6.4271317,3.295611,0.0,0.625,-3.1315207,0.625,dumbbell,3,1,proxy,1.0
1316,46.088318271334096,0.9725222267359348,6.435202,4.938975,0.0,0.875,-1.4962273,0.875,dumbbell,3,1,proxy,1.0
526,46.35438296761231,1.121470679088524,6.3950205,4.88182,0.0625,1.0,-1.5132003,0.9375,dumbbell,3,1,proxy,1.0
1074,46.48800132041069,0.6347529911529145,6.35742,3.7427502,0.0625,0.6875,-2.6146698,0.625,dumbbell,3,1,proxy,1.0
518,-129.27976579480693,0.07894804011328614,7.0269394,4.6574006,0.9375,0.5625,-2.3695388,-0.375,dumbbell,3,1,random,0.9
771,-60.29774119015027,0.1802438426516282,6.8649883,4.5162644,0.75,0.6875,-2.348724,-0.0625,dumbbell,3,1,random,0.9
422,-26.163006228925056,0.33703075754432854,6.799165,4.6609106,0.4375,0.875,-2.1382542,0.4375,dumbbell,3,1,random,0.9
1186,3.4814826953899036,0.23619611727319906,6.668502,4.390171,0.1875,0.3125,-2.2783308,0.125,dumbbell,3,1,random,0.9
386,9.150050099113331,0.24072830478539486,6.3423343,4.231513,0.0,0.3125,-2.1108212,0.3125,dumbbell,3,1,random,0.9
