kind,dim,seed,noise,p,score,ks
dumbbell,4,1,0.15,1054,-0.001125054020866309,48.746120195209556
dumbbell,4,1,0.15,49,0.0,50.68992922887722
dumbbell,4,1,0.15,338,0.0071516448857496286,53.404729080275516
dumbbell,4,1,0.15,168,0.001135639826817112,54.914407795780456
dumbbell,4,1,0.15,83,0.0006840653172026402,57.02313958040816
dumbbell,4,1,0.15,630,-0.0026420851792795033,58.461473035312636
dumbbell,4,1,0.15,792,-0.00010123685460623061,60.53337248279845
dumbbell,4,1,0.15,624,0.006565666127985176,62.595294644572725
dumbbell,4,1,0.15,20,-0.004591332834651067,64.39844708742834
dumbbell,4,1,0.15,1268,0.0,66.44991427627988
dumbbell,4,1,0.15,446,-0.005022009236225401,67.74097839522331
dumbbell,4,1,0.15,300,0.0,69.22316621850815
dumbbell,4,1,0.15,844,-0.09596114416926703,70.58544332478274
dumbbell,4,1,0.15,643,-0.0037811533058024413,72.27160986864112
dumbbell,4,1,0.15,780,0.0,73.79860717274613
dumbbell,4,1,0.15,408,-0.005845447935739954,74.8145187062159
dumbbell,4,1,0.15,371,-0.017413647619009535,75.81056657306709
dumbbell,4,1,0.15,628,0.0,76.55098936217178
dumbbell,4,1,0.15,1325,-0.0018037445556980392,77.12438102232846
dumbbell,4,1,0.15,1364,0.0031419133542773883,77.60137057352696
dumbbell,4,1,0.15,1318,0.009630426061747036,77.96127544056009
dumbbell,4,1,0.15,1049,0.0,78.08977454763823
dumbbell,4,1,0.15,1108,-0.0003276206466257259,78.14027732212305
dumbbell,5,0,0.0,1215,-0.003885434125250827,-220.09329687014704
dumbbell,5,0,0.0,511,0.0,-22.510561564498104
dumbbell,5,0,0.0,636,0.0,30.86506887494513
dumbbell,5,0,0.0,781,0.0,34.849540270807054
dumbbell,5,0,0.0,412,0.0060330855723116986,37.047199948671725
dumbbell,5,0,0.0,1328,0.0,40.8717192115729
dumbbell,5,0,0.0,714,0.0,43.954918043765225
dumbbell,5,0,0.0,1316,0.0,49.220350954616364
dumbbell,5,0,0.0,576,0.0,52.37776877688457
dumbbell,5,0,0.0,48,0.0,55.46035020324626
dumbbell,5,0,0.0,1134,-0.0004362468488117617,58.13062888117096
dumbbell,5,0,0.0,428,0.0,62.77696672321145
dumbbell,5,0,0.0,719,0.0,66.29612912953641
dumbbell,5,0,0.0,587,0.0,68.58219274809008
dumbbell,5,0,0.0,1083,-0.011436974405996024,71.48687649552357
dumbbell,5,0,0.0,1047,0.0,74.28099702538144
dumbbell,5,0,0.0,383,0.0,77.33185038161002
dumbbell,5,0,0.0,1265,0.0,79.99689515742895
dumbbell,5,0,0.0,834,0.0,82.04604922645436
dumbbell,5,0,0.0,845,-0.0026928911099705077,84.7151428607952
dumbbell,5,0,0.0,707,0.0,87.01919022676229
dumbbell,5,0,0.0,825,-0.008431799733732915,90.15929199496348
dumbbell,5,0,0.0,1321,0.0,92.70443141694055
dumbbell,5,0,0.0,697,-0.003319625195718743,94.72948200780306
