v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,inst_id,ks,dim,shape,name,integ_sign,integ_mag,iso
-219.9006326557418,-7.718006583567652,4.982028890496465,-2.124629280627324,-9.124346585483524,-78.17954149583025,-12.030035554991752,5.0,0.2820713601734487,0.1834542892890328,0.3891832810388294,0,2000,4,165,-16.0,4,Saddle,4-Saddle,-0.46594263572181704,-1.8333720147303778,-1.0111551417900366
-55.66961570579587,0.01973131994586709,2.4169605047771268,3.6090811063845165,-1.4921033412877778,0.20412412923193277,-3.7822581997698594,5.0,0.2550599572766941,0.2778174874170739,0.5364671256238358,0,2000,4,166,2.0,4,Sphere,4-Sphere,-0.016181559866571382,-0.5705686307571141,-1.0111551417900366
0.43647425206529733,2.3676579323645477,2.407242823421037,-3.1882489679434975,-9.440131878606072,-78.17954149583025,-8.633711174801801,4.0,0.2989535611992027,0.2317617870355625,0.4235484040889486,0,2000,4,167,0.0,4,Plane,4-Plane,-0.4816959972609305,-0.5695917219053853,-0.1389627224724735
-329.51831198030936,-9.778811951215166,2.829739750833011,-2.6197869149041755,-9.475489431171006,-78.17954149583025,-11.882317979179987,5.0,0.2929731466345632,0.2213888448820297,0.4052410686825545,0,2000,4,168,-16.0,4,Saddle,4-Saddle,-0.48978347089760954,-2.2917939415969983,-1.0111551417900366
-47.78474857890479,0.37814138073677633,2.3472599537136833,1.9858470361020903,-0.47109472835008354,0.20412412923193277,-2.875581436303151,5.0,0.2331248282669015,0.3132405612528816,0.5482739181812654,0,2000,4,169,2.0,4,Sphere,4-Sphere,-0.02505494295590588,-0.29429613943401794,-1.0111551417900366
0.4364546973590795,2.367656696514996,1.6673560161364736,-3.3299691359462003,-8.416950034372174,-78.17954149583025,-10.97851069978307,4.0,0.2819677121457685,0.2337703488739476,0.4358703942336666,0,2000,4,170,0.0,4,Plane,4-Plane,-0.49233619405712353,-0.6156741812523677,-0.1389627224724735
-269.323127719827,-9.375826903341416,3.566042752418089,-2.5037509977569856,-9.060770503315124,-78.17954149583025,-10.210097472670773,5.0,0.2736313515581435,0.2155960912537686,0.4099547471453976,0,2000,4,171,-16.0,4,Saddle,4-Saddle,-0.4593357468470193,-2.148065329581838,-1.0111551417900366
-43.448674575145205,0.3800799272543598,2.1279368352532315,0.9686042359509714,0.5032270736223136,0.20412412923193277,-2.240233324427443,5.0,0.233306958085426,0.3428642826532118,0.5586868023648628,0,2000,4,172,2.0,4,Sphere,4-Sphere,-0.0024381752884293784,-0.05685420848652889,-1.0111551417900366
0.4364175331662915,2.367657155491864,0.8076122276473335,-3.4013331608195783,-9.337655235212688,-78.17954149583025,-7.055644852847729,4.0,0.3010700347349886,0.2437580298477119,0.4218675783809072,0,2000,4,173,0.0,4,Plane,4-Plane,-0.49564543188773247,-1.1429219443972976,-0.1389627224724735
-305.63658217469117,-9.358701146122446,3.768968879221455,-2.5201605330866386,-9.170600982006059,-78.17954149583025,-9.24712859375859,5.0,0.2823923069083301,0.2229102806930526,0.394823675534958,0,2000,4,174,-16.0,4,Saddle,4-Saddle,-0.43668902388268316,-2.264671668068679,-1.0111551417900366
