kind,dim,seed,branch,ks,integ_sign,integ_mag,v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa
dumbbell,3,0,B,18.427504263358866,0.24452958355361742,0.5436943945491746,2.3074453797364884,3.5271351167026173,2.402292850170033,8.973692274585337,4.5339952494943345,15.691083384614641,6.004215482876893
dumbbell,3,0,B,18.86173140901876,0.31237597662623107,0.6459763178762892,1.507406067492778,3.655604410571209,2.307083965574684,9.898067630183148,6.641689083538641,15.691083384614641,10.725620369975815
dumbbell,3,0,B,19.292051405337936,0.15033747935331299,0.5536035024509709,2.0439837274875394,3.516525126258021,-0.043834963331816246,11.28052572714774,6.86855727082018,16.782637011370444,11.716261054866798
dumbbell,3,0,B,19.5323352139822,0.09411823484297122,0.6804832595264511,2.4330102270288902,3.198538825649177,0.4938048732228983,10.70181556039084,6.941796067758025,16.782637011370444,6.8605475073090165
dumbbell,3,0,B,19.59838014117316,0.05399486149985211,0.497248514972409,2.5372809502301963,2.9281165679982566,1.2273601996405437,7.691498512763935,4.6156489601840685,15.691083384614641,9.76369450430381
dumbbell,3,0,C05,-22.548062598221478,-0.1731201491923956,0.2180108903738115,-3.129316770441629,-5.5848081508870715,2.053987581704258,3.3777179306643714,4.777477529309148,13.501542888349707,0.14454425280311772
dumbbell,3,0,C05,-19.225024550522377,-0.1888610062912766,-0.12552058875188016,-2.4158867691624764,-6.629636731603852,-0.35011863514994773,2.0670615364196863,3.3624361112133383,9.1810491640778,1.677288813039436
dumbbell,3,0,C05,-11.762262800203482,0.4039832936897523,0.4963842850609741,-0.3225529799919499,-3.3825021804310977,2.353041062051218,1.221329460814896,1.8547093675517772,4.8605554398058946,0.959579961183294
dumbbell,3,0,C05,-3.5550526795521264,-0.485990532824163,-0.5086613161782684,-1.3406962345044675,-3.993037497909498,-0.7357822830572517,-0.4108600604329449,-0.38942935921404864,4.8605554398058946,0.500962712610231
dumbbell,3,0,C05,2.5102588071524714,-0.1844370394668408,0.09596196611040016,-2.1717117425107086,-2.415430479375587,4.588702077984921,2.143897621443828,-0.9295632211062499,8.100925733009824,0.10212571101533092
dumbbell,3,0,C05,6.159382675542515,-0.19969698839218686,0.025980744784164865,0.6413596382650175,1.9175992183374162,-2.6471408941690044,11.25184077644103,4.746112918803735,16.741913181553638,3.341286357308059
dumbbell,3,0,C05,6.605360713324066,0.052826460176562895,0.43248005959154606,-0.9115445282695239,1.0406820685659188,0.6535816302874682,14.892666289334048,9.814520169197577,16.741913181553638,3.295248553695993
dumbbell,3,0,C05,7.3857094587224115,0.16685047364109074,0.47178835632706706,0.035630072186573575,1.181898833809196,2.016930077438262,5.112700999817991,5.787218543140838,14.581666319417684,0.3915731027338943
dumbbell,3,0,C05,8.355744883799076,0.11870340459782602,0.4295759967553964,1.3696787008780265,0.5980659498360767,0.7231172155599256,14.411070543118258,6.6320516802896785,16.741913181553638,3.343362497525577
dumbbell,3,0,C05,9.178669145217661,0.4347020803445577,0.4910755458974145,-0.3942803860106602,2.4213083121153334,2.330550054289508,11.445463926412634,7.798390385696353,16.741913181553638,1.581975568306514
dumbbell,3,0,C05,10.291751725325792,0.146818600902466,0.5886609793993229,0.9271620064168478,2.657102967307417,2.2487606599576058,11.358807809991532,7.357713945979837,16.741913181553638,2.778293907032412
dumbbell,3,0,C05,11.41168825762969,0.48057175593799795,0.7543548850871298,-0.4433697697911333,0.9944825455032901,6.711545274402643,12.601541910829956,14.19347502487634,16.741913181553638,2.2083320699306266
dumbbell,3,0,C05,12.373259461365768,0.4652743168623379,0.6647419553689529,-1.2645983929029678,-0.2197638258935566,4.083568482288242,7.5220586053757845,7.695248311954196,14.581666319417684,1.067979799056931
dumbbell,3,0,C05,13.292811739534624,-0.11628083361206909,0.11612037739449915,1.542008270647689,3.8283844736717625,-1.7994970647691368,13.371282810153016,10.421022831476657,16.741913181553638,1.437697751754073
dumbbell,3,0,C05,14.409416562572522,-0.39839749511481615,-0.44151090539669297,-4.761934761974723,-2.1952505202599535,-1.8061308946830008,14.449360854705255,7.755994356586737,15.66178975048566,1.0583846721010448
dumbbell,3,0,C05,15.33757314504347,-0.08467221517936241,0.4086566967610963,-1.0550340931397786,1.4921499894282846,1.5363664172048623,11.977879533803426,7.514903210054025,16.741913181553638,2.2075501462016454
dumbbell,3,0,C05,16.176736933411025,0.4687174431465858,0.6446120963800858,0.8054206307790208,1.958462925330014,6.982555717869682,12.65598929254861,12.486670050173151,16.741913181553638,3.2811842780389258
dumbbell,3,0,C05,17.079064983670342,0.4882126332206965,0.801556822802388,2.7720116961829304,1.8246168619211747,8.43492339048231,4.814796762398451,9.484112843332674,13.501542888349707,2.5324812984383063
dumbbell,3,0,C05,17.851715608550524,0.45130686412530263,0.5833168046230677,0.9257982874733727,-1.3661383751590377,2.6309056252966765,5.906311177359209,4.907736159610052,13.501542888349707,1.0940742585056382
dumbbell,3,0,C05,18.427504263358866,0.3304811218250344,0.37492542000348833,-0.5027151098397166,-0.8581256160883866,0.23650854812208913,5.07640095661936,5.5915488964993845,14.581666319417684,0.8448477628466335
dumbbell,3,0,C05,18.86173140901876,0.4785988228408429,0.5084127531216883,-2.7217502523388077,-1.7218978496962525,3.832242926697031,12.972814491437692,10.472619221454844,16.741913181553638,2.646969354647108
dumbbell,3,0,C05,19.292051405337936,0.4990617758819078,1.7448595497131076,0.9280083549287554,0.6284456049837354,11.626549919366592,5.820225550870766,14.385257195094455,16.741913181553638,2.8743063688454185
dumbbell,3,0,C05,19.5323352139822,0.2653199987773255,0.29198729346505137,0.8763074359123428,0.5702131250378705,0.0708616302023071,5.374524003435478,8.224215538670949,15.66178975048566,1.5372669009709976
dumbbell,3,0,C05,19.59838014117316,0.14900660477327266,0.6378102053874309,1.0411518842341227,2.5977797563507763,1.7570414163760106,11.157521191256334,8.912276329506945,16.741913181553638,2.7294955547310344
dumbbell,3,0,C17,-22.548062598221478,-0.42297325084028303,-0.35551835861620434,-0.4752607281147381,-0.08197398924546737,-1.344001050292101,16.730955854018468,4.571898385026173,44.90127857334588,5.995677288063767
dumbbell,3,0,C17,-19.225024550522377,0.4195321144761305,0.2429632238476423,0.09554841032104813,0.5833437478549124,1.1244805672188212,22.4402998979984,7.844388928891039,42.07285157659968,5.504169650931733
dumbbell,3,0,C17,-11.762262800203482,-0.17126022977781574,-0.3143749613134231,0.03789349489529711,-0.33618759824870187,-1.1905126523823637,19.844315058411507,6.18774409188987,44.90127857334588,2.22492243786878
