instance,point,kind,dataset,dim,noise,seed,name,ks_true,kappa,frac,ent2,ent4
469,114,necklace,tier2,5,0.05,0,warped(d=5),80.7760545255616,0.3305309224854457,0.0,3.269458770751953,4.315581321716309
469,768,necklace,tier2,5,0.05,0,warped(d=5),86.31709073738382,0.4731660438778671,0.0,3.233507871627808,4.20384407043457
469,626,necklace,tier2,5,0.05,0,warped(d=5),91.59693466195426,0.0423920854062788,0.0,2.947456359863281,4.161423683166504
469,886,necklace,tier2,5,0.05,0,warped(d=5),95.94495504582936,0.8603475496511177,0.0,3.3326003551483154,4.392955303192139
469,833,necklace,tier2,5,0.05,0,warped(d=5),99.7529888300936,0.7528880519524561,0.0,3.464261531829834,4.388753890991211
469,214,necklace,tier2,5,0.05,0,warped(d=5),101.80263882050804,0.178171954615277,0.0,3.296884775161743,4.38104772567749
469,1182,necklace,tier2,5,0.05,0,warped(d=5),104.05948550312486,0.7689034593993194,0.0,2.466554641723633,3.8275861740112314
469,579,necklace,tier2,5,0.05,0,warped(d=5),106.1744800167218,0.4610250323128348,0.0,3.546097040176392,4.555315971374512
469,304,necklace,tier2,5,0.05,0,warped(d=5),107.88690190847451,0.6215488098357981,0.0,3.160675287246704,4.187640190124512
469,705,necklace,tier2,5,0.05,0,warped(d=5),109.19563159783604,0.7404426658611376,0.0,3.180824518203736,3.9918622970581055
469,1427,necklace,tier2,5,0.05,0,warped(d=5),110.31939331041087,0.7754392144105349,0.0,2.789679765701294,4.06995964050293
469,438,necklace,tier2,5,0.05,0,warped(d=5),111.14163903692776,0.7478730092822248,0.0,3.2948074340820312,4.55479907989502
469,457,necklace,tier2,5,0.05,0,warped(d=5),111.80869492784956,0.8861956851124875,0.0,2.7555055618286133,3.834803819656372
469,876,necklace,tier2,5,0.05,0,warped(d=5),112.4375938906739,0.7374519375814568,0.0,3.3059558868408203,4.346885681152344
469,1065,necklace,tier2,5,0.05,0,warped(d=5),112.76046666303576,0.866269256406863,0.0,3.120817184448242,4.148816108703613
469,446,necklace,tier2,5,0.05,0,warped(d=5),112.89836016552852,0.500639483196204,0.0,3.195830821990967,4.436484336853027
470,1401,necklace,tier2,5,0.15,0,warped(d=5),-60.15587855260094,0.7387043984503681,0.0,3.577213287353516,4.912995338439941
470,11,necklace,tier2,5,0.15,0,warped(d=5),-21.349776077280744,0.5986756665408017,0.0,3.786561965942383,5.029324531555176
470,1263,necklace,tier2,5,0.15,0,warped(d=5),11.125704385405546,0.8634706384711521,0.0,3.7337512969970703,4.890759468078613
470,1386,necklace,tier2,5,0.15,0,warped(d=5),31.160815671380945,0.7545936981716558,0.0,3.808629512786865,4.923919677734375
470,347,necklace,tier2,5,0.15,0,warped(d=5),46.51226121609809,0.5265573317336523,0.0,3.039161205291748,4.373558044433594
470,172,necklace,tier2,5,0.15,0,warped(d=5),57.3213661093841,0.3467909446417277,0.0,3.377053737640381,4.679503917694092
470,841,necklace,tier2,5,0.15,0,warped(d=5),67.34280861633508,0.3910750120246445,0.0,3.3292765617370605,4.358720302581787
470,447,necklace,tier2,5,0.15,0,warped(d=5),74.5498904676121,0.4394789710048731,0.0,3.664069414138794,4.755685806274414
470,114,necklace,tier2,5,0.15,0,warped(d=5),80.7760545255616,0.6439423859028915,0.0,3.2556443214416504,4.3676838874816895
470,768,necklace,tier2,5,0.15,0,warped(d=5),86.31709073738382,0.496934963475556,0.0,3.341170310974121,4.39329719543457
470,626,necklace,tier2,5,0.15,0,warped(d=5),91.59693466195426,0.3180382588742701,0.0,3.097263813018799,4.399548053741455
470,886,necklace,tier2,5,0.15,0,warped(d=5),95.94495504582936,0.7412435074195567,0.0,3.492406845092773,4.588803291320801
470,833,necklace,tier2,5,0.15,0,warped(d=5),99.7529888300936,0.464676335251184,0.0,3.610499143600464,4.597958564758301
470,214,necklace,tier2,5,0.15,0,warped(d=5),101.80263882050804,0.4872426297051334,0.0,3.4468114376068115,4.570225715637207
470,1182,necklace,tier2,5,0.15,0,warped(d=5),104.05948550312486,0.7681169986608837,0.0,2.811100959777832,4.196094512939453
470,579,necklace,tier2,5,0.15,0,warped(d=5),106.1744800167218,0.1745539545935759,0.0,3.648106575012207,4.686248779296875
470,304,necklace,tier2,5,0.15,0,warped(d=5),107.88690190847451,0.7259937567690014,0.0,3.2964296340942383,4.354864597320557
470,705,necklace,tier2,5,0.15,0,warped(d=5),109.19563159783604,0.7539509917426159,0.0,3.209988594055176,4.0699615478515625
470,1427,necklace,tier2,5,0.15,0,warped(d=5),110.31939331041087,0.7765546670928649,0.0,2.9194531440734863,4.238791942596436
