v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,ks,manifold,family
53197190.50393588,60.12447187766982,1.5297384966010217,18.31026109139681,-1.7763897731492413,-3.2467931057963697,-2.10347252776584,3.0,0.2581261043181547,0.2384628838887774,0.49856646976984,924,1400,3,45.20347053004755,0,dumbbell
47192152.34279382,40.6635187365927,2.21657753280659,14.272530090761878,-1.7135440231612298,-17.41461756745326,-1.1220765270066977,3.0,0.2253030430977482,0.2339453794666519,0.5005941791152758,392,1400,3,46.11913836895834,0,dumbbell
55815650.2311904,68.67368307120846,2.9514757510030702,21.09840821140954,-1.709199716700685,0.2951630096178518,-16.015169925369555,3.0,0.2520618840210816,0.1913499563360197,0.5041361606701393,857,1400,3,46.84254617355502,0,dumbbell
48456852.75677625,63.010558268760654,2.5593573409004446,18.197717086964055,-1.1474671999411847,0.2951630096178518,-7.416329877749298,3.0,0.2199480715918174,0.2037327193362866,0.5024798170667889,994,1400,3,47.52966542245273,0,dumbbell
69077796.32056865,81.76802259992049,2.352923681421692,24.386445645562173,1.053057676575549,-6.788749221210592,-15.25654392132686,3.0,0.1993260890582576,0.2001347716548872,0.533178469792891,396,1400,3,48.01848251514624,0,dumbbell
60332544.04369202,74.03883768920458,3.333917769801613,20.624255812785982,-0.3989577574963101,0.2951630096178518,-9.159450933223052,3.0,0.2028294088900304,0.1658904880123701,0.5149367465703523,875,1400,3,48.4084229570255,0,dumbbell
62685252.53101866,67.64127489899069,4.4743526822800375,21.19533722258617,-1.507053638794714,-3.2467931057963697,-8.643105823414558,3.0,0.265950231642787,0.2397542131610021,0.5258404424890186,136,1400,3,48.67028739382049,0,dumbbell
68305751.77939102,74.37468001091624,3.318714262236379,21.1399573934593,-0.5898551459376589,-3.2467931057963697,-15.319334521626216,3.0,0.2267776034657183,0.1855444083697447,0.5302424602678794,1213,1400,3,48.77384861420067,0,dumbbell
4.545971937251008,6.252340953751024,2.535204819519358,8.345686849539325,-2.962088787062976,-0.0,-4.102538574553718,4.0,0.2233832228166417,0.2561440781742267,0.5330983532728443,955,1400,4,7.544603644425312,1,bumpy_cap
5.104641851705233,6.249718411828698,1.398557785501081,8.553361556421626,-3.955483566699201,-0.0,-2.766426743852204,4.0,0.2527530812810699,0.2676900843427305,0.5383557981823791,307,1400,4,8.43160348476954,1,bumpy_cap
5.213632669399657,6.604719373503645,1.0351133982088203,9.929087742818783,-3.365391743762149,-0.0,-3.269098432947813,4.0,0.2391144594943993,0.2197395881090153,0.5437644097056704,1303,1400,4,10.874112525048451,1,bumpy_cap
4.8808904814839975,6.299185222669103,-0.3832884381119888,6.992347318846922,-3.0448167781014908,-0.0,-3.75665067851064,4.0,0.2279857510396534,0.296618495291565,0.5360258918771377,658,1400,4,13.918811557668963,1,bumpy_cap
7.628519574493744,7.75699399878973,0.2792928192025758,4.420976291149844,-2.6599909002973683,-0.0,-3.54461339460376,4.0,0.2226381137081462,0.3006166900160264,0.5578450479044956,221,1400,4,18.515636523049768,1,bumpy_cap
6.487287388211277,7.232007744311657,2.640242152767176,7.85026063034824,-3.9608036099959314,-0.0,-3.2452636090271785,4.0,0.2621364527235061,0.250737667911958,0.5419880858452523,1256,1400,4,22.4303512386394,1,bumpy_cap
7.750596880898851,7.80941036244792,1.873583498722831,5.372575638443737,-3.6258234881758296,-0.0,-3.694086490036907,4.0,0.2417091634420239,0.2961756732428903,0.5429877096143412,1257,1400,4,23.23695904717836,1,bumpy_cap
8.976398727803009,8.605295177058302,2.135133609572168,5.356714144537438,-3.7172111392161007,-0.0,-3.2403157239334783,4.0,0.2409183409827661,0.2843946119919476,0.526113470739023,1190,1400,4,24.37886055380496,1,bumpy_cap
8.09743513688318,8.304487937458862,2.426114153114921,9.36444304847604,-3.2716189211518296,-0.0,-3.4483110231645653,4.0,0.2321295084228324,0.2343997777935819,0.5398201404783318,134,1400,4,24.46878443031112,1,bumpy_cap
8.543785301436008,8.68765950318676,0.8418730641155835,6.730599788305127,-2.559147277042136,-0.0,-3.206373282904761,4.0,0.2227149109054285,0.2691958820712763,0.5475074478949088,356,1400,4,24.745443575867487,1,bumpy_cap
7.269943949921362,7.551065903472531,3.198588550769309,5.847826136568843,-4.447160236251077,-0.0,-3.7642850900629368,4.0,0.2553672581705306,0.2891935594016375,0.5454931175750576,1095,1400,4,25.012743073026325,1,bumpy_cap
8.223296036595212,8.074509000662337,2.3571859315358545,5.0917778771174005,-3.8045871086338185,-0.0,-3.15339564573126,4.0,0.2493097560542738,0.3085490850953344,0.5372314313235704,900,1400,4,25.41067713396645,1,bumpy_cap
8.78978401861381,8.358790852565802,1.981925963349792,4.375787047130111,-3.780560317198512,-0.0,-3.7300899810623225,4.0,0.2421058919670911,0.3065433488126617,0.5392668202354722,121,1400,4,25.960037609175007,1,bumpy_cap
9.0793696389251,8.79992807466743,1.0472250824301348,6.611986023145153,-2.0978302459355462,-0.0,-3.242921056569384,4.0,0.2106246038125686,0.3012868559773631,0.547177269069962,852,1400,4,26.31986855157466,1,bumpy_cap
8.323129718979343,8.295619417695105,1.347126501575574,9.577402029092116,-2.7567964864430854,-0.0,-2.7470122319116217,4.0,0.2209205573564231,0.2415839551655204,0.5574043869659764,302,1400,4,26.73856561451306,1,bumpy_cap
8.792309402371027,8.468471743060418,2.262727735749964,5.354942834646869,-4.146342473137903,-250000000.0,-3.0043494240279585,4.0,0.2533767327600014,0.2714350476016426,0.5503574108451338,1222,1400,4,27.20520772293892,1,bumpy_cap
9.312713634150931,8.8960757492054,0.6738093300658121,6.4129378348883925,-2.616141017597172,-0.0,-2.626943263276889,4.0,0.227329383096393,0.309834031595511,0.5655087496322213,511,1400,4,27.831909796900582,1,bumpy_cap
9.63809995350328,9.092615122609532,-0.2029635137630269,10.757724307185974,-0.7783973846984248,-0.0,-2.3039713749207595,4.0,0.2066600605700976,0.2568051370348008,0.578744492922881,785,1400,4,28.347667434194086,1,bumpy_cap
7.441181070790702,7.703426836457575,2.521394125343385,5.163313943985809,-4.171871527330036,-62499999.99999999,-4.066591498221437,4.0,0.2461453704599105,0.2747722937087825,0.5366958066004215,257,1400,4,29.174181177884883,1,bumpy_cap
