v4_m60,v4_m120,v3_defect,sent,ent_cak,frac,kappa,est_dim,spread,knn_radius,patch_frac,anchor,n_points,true_dim,branch,estimator,rep,n_bucket
-3.6581404719394626,-2.476542086824631,4.624478407902824e-05,-7.158110212211084,-0.00159829284530133,-0.0,0.9972434381715164,3.0,3.692019574330198e-05,0.6507784412344914,0.7275366149325089,470,1400,3,B,heatgeo_t,2,1400
-3.6818407365843395,-2.632530875827419,3.915232139437355e-05,-7.158284138137013,-0.0013642560224980116,-0.0,0.9956411296440251,3.0,3.081081113040555e-05,0.6566028221505876,0.7157638308657005,97,1400,3,B,heatgeo_t,3,1400
-4.054120244609031,-2.953771815923562,4.760136517575897e-05,-7.158063011537981,-0.0016432444099336863,-0.0,0.9980221140250797,3.0,3.784843804426298e-05,0.6478567825166451,0.7271840380293882,1341,1400,3,B,heatgeo_t,3,1400
-3.8651504053301697,-2.979412960598932,4.737858117782878e-05,-7.158071224782628,-0.0016263412544503808,-0.0,0.9970092226904774,3.0,3.743053328335869e-05,0.648494632460945,0.7238122681782254,1371,1400,3,B,heatgeo_t,3,1400
-3.6696320347947546,-2.869839720916609,6.726610657417989e-05,-7.158280921009572,-0.0022846513893455267,-0.6875,0.9999975552479283,3.0,5.326180009197339e-05,0.6552501324531506,0.7156982780494968,1269,1400,3,B,heatgeo_4t,0,1400
-3.8300282958566143,-2.903173388692306,9.082930246932103e-05,-7.158032059661995,-0.003012309316545725,-0.0,0.9999966960439076,3.0,7.268983964123528e-05,0.6356644431446988,0.737528241707768,358,1400,3,B,heatgeo_4t,0,1400
-4.0048027934068875,-2.9763236305647274,7.79647121483297e-05,-7.158149609084506,-0.0025860911700874567,-0.0625,0.9987843457731489,3.0,6.129093114354655e-05,0.6460206867976845,0.7252477211397934,25,1400,3,B,heatgeo_4t,0,1400
-3.4940135241469266,-2.68485860379716,6.480786428565005e-05,-7.1582746158937685,-0.002226142445579171,-0.125,0.9984070208250555,3.0,5.231186726639728e-05,0.64756218040149,0.7234070848433538,317,1400,3,B,heatgeo_4t,1,1400
-3.529658991989495,-2.5782917901237905,5.794615375945625e-05,-7.158255026823154,-0.0019124585669487715,-0.0625,0.9979961302847014,3.0,4.4012837242316056e-05,0.6614243426177447,0.7138427281731586,363,1400,3,B,heatgeo_4t,1,1400
-3.703376238301005,-2.5412919357229287,8.934258468597245e-05,-7.157962204575389,-0.0030096517875790596,-0.0,0.995827189244703,3.0,7.344612562480617e-05,0.6316902713809502,0.7517534219948224,459,1400,3,B,heatgeo_4t,1,1400
-3.540870394987497,-2.790032803102556,7.68151937198154e-05,-7.15827125320301,-0.002625760855153203,-0.8125,0.9971050624505079,3.0,6.218351469513525e-05,0.6492318536521278,0.7196893705348945,1330,1400,3,B,heatgeo_4t,2,1400
-3.3466775814566256,-2.5731811866117287,8.868709378649642e-05,-7.158033743030428,-0.0030391637701541185,-0.0,0.9974240973771817,2.0,7.331231906077378e-05,0.6380090400614741,0.7297844808122556,1027,1400,3,B,heatgeo_4t,2,1400
-3.2587866533392496,-2.2739823528266703,9.12328055543074e-05,-7.158095940130345,-0.003059993963688612,-0.0625,0.9975520017711628,3.0,7.395292051999039e-05,0.6437209654217549,0.7299920127068299,470,1400,3,B,heatgeo_4t,2,1400
-3.2866107272176377,-2.372080609989519,7.403686785213692e-05,-7.15828215402248,-0.002502716612070799,-0.0,0.9989728729471757,3.0,5.8851950157865855e-05,0.6503515478772013,0.7168763158720698,97,1400,3,B,heatgeo_4t,3,1400
-3.62048830339587,-2.6423546349137528,9.356539019297547e-05,-7.15804645206546,-0.0031251467298716307,-0.0,0.9985801099946441,3.0,7.518005985223341e-05,0.6404389528587708,0.729548349822583,1341,1400,3,B,heatgeo_4t,3,1400
-3.4476977347995854,-2.661685426222417,9.28419107804404e-05,-7.158053662555643,-0.0030857634264975786,-0.0,0.9991358563184607,3.0,7.42062218121266e-05,0.6411614205821616,0.7258017910775654,1371,1400,3,B,heatgeo_4t,3,1400
-0.04781802981425823,-0.055975785403207974,-0.01594548189447989,-7.13732752894751,-5.743990421295166,-1.0,0.06551054272839621,3.0,0.2760398131130675,0.20106033275400295,0.4937678613323519,276,1400,4,B,pca_denoise,0,1400
-0.009084384753756463,-0.025507889643838683,0.04298622010048972,-7.053211254941752,-4.96880578994751,-0.0,0.23604795659552935,5.0,0.23303324422547095,0.17170514113063465,0.515827360497133,74,1400,4,B,pca_denoise,0,1400
-0.0255498018888541,-0.0325004216170377,0.0026510612377269663,-7.080752247344248,-5.1275553703308105,-0.0,0.2501391975298354,4.0,0.23906375009952832,0.193528432531658,0.5036851950582029,171,1400,4,B,pca_denoise,0,1400
-0.021707771237254085,-0.04027707181995018,-0.014651848818445834,-7.143035901706282,-5.746356010437012,-1.0,-0.0026022604857522807,4.0,0.2610321512987302,0.19834867994573266,0.47635060210016283,1279,1400,4,B,pca_denoise,1,1400
0.09684836162725746,0.05065114984203609,0.05840017909763447,-7.025311113579129,-4.415640354156494,-0.0,0.34566249434741403,4.0,0.22459662215935505,0.2172484660600854,0.6325984824808034,891,1400,4,B,pca_denoise,1,1400
