dataset,instance,method,ks_hat,elapsed_s,fb_elapsed_s,err,name,dim,codim,noise,m,shape,ks_true
colosseum,12,dc_entropic_subtraction,-0.184061050415039,2.71,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,hickock,0.3820397164476175,47.75,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,frc_weighted_adaptive,-9.608768093544464,0.77,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,frc_unweighted_knn,0.3333333333333333,0.5,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,orc,0.1180761493362546,7.16,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,spc_hop,2.8422592742692205,54.54,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,spc_diffusion_t5,3.599694243289433,18.84,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,laziness_knn_t5,-4.083061695098877,0.68,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,laziness_adaptive_t5,-3.98962926864624,0.66,,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,successor_entropy,-7.646981239318848,0.04,28.43,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,12,successor_orc,-1.7238300406801166,5.47,28.43,,d2-c1-n0.01-m12,2,1,0.01,12,,-9.198005585862596
colosseum,13,dc2,-0.1530160903930664,11.75,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,dc_wasserstein_ollivier,0.2772504091262817,3.2,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,dc_entropic_subtraction,-0.2438235282897949,2.65,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,hickock,2.0887837919013554,48.55,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,frc_weighted_adaptive,-32.97941734411687,0.78,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,frc_unweighted_knn,0.6,0.53,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,orc,0.0812926790271755,7.02,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,spc_hop,276.8380478947669,55.91,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,spc_diffusion_t5,195.01818300008256,18.8,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,laziness_knn_t5,-4.191695690155029,0.69,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,laziness_adaptive_t5,-4.139155387878418,0.63,,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,successor_entropy,-7.280188083648682,0.03,27.99,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,13,successor_orc,0.6549759375428803,4.27,27.99,,d2-c1-n0.01-m13,2,1,0.01,13,,2.033645111062772
colosseum,14,dc2,-0.437993049621582,11.59,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,dc_wasserstein_ollivier,0.2369179129600525,3.17,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,dc_entropic_subtraction,-0.1253886222839355,2.68,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,hickock,1.9548422685767648,46.46,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,frc_weighted_adaptive,-4.344381797955914,0.77,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,frc_unweighted_knn,1.6666666666666667,0.24,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,orc,-0.0053701573655028,7.27,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,spc_hop,37.76249393874392,54.28,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,spc_diffusion_t5,284.21493865554606,19.23,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,laziness_knn_t5,-3.6599390506744394,0.68,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,laziness_adaptive_t5,-3.6094489097595215,0.63,,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,successor_entropy,-7.072681427001953,0.03,28.63,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,14,successor_orc,-3.6588995865950986,4.93,28.63,,d2-c1-n0.01-m14,2,1,0.01,14,,0.9561585364934102
colosseum,15,dc2,0.0011777877807617,11.75,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,dc_wasserstein_ollivier,0.1548134088516235,3.24,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,dc_entropic_subtraction,-0.1378583908081054,2.71,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,hickock,1.4728418628927782,47.08,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,frc_weighted_adaptive,-4.252700909400483,0.78,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,frc_unweighted_knn,3.0,0.24,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,orc,0.203163958940785,7.3,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,spc_hop,-22.027828541488915,56.95,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,spc_diffusion_t5,1056.8643175808425,19.55,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,laziness_knn_t5,-3.951591968536377,0.72,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,laziness_adaptive_t5,-3.868189811706543,0.68,,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,successor_entropy,-7.246479034423828,0.03,29.17,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,15,successor_orc,-0.1682210736001235,5.22,29.17,,d2-c1-n0.01-m15,2,1,0.01,15,,-4.162739037412933
colosseum,16,dc2,-0.5274252891540527,11.99,,,d2-c1-n0.01-m16,2,1,0.01,16,,0.6717946679315379
colosseum,16,dc_wasserstein_ollivier,0.2167823314666748,3.21,,,d2-c1-n0.01-m16,2,1,0.01,16,,0.6717946679315379
colosseum,16,dc_entropic_subtraction,-0.1569981575012207,2.71,,,d2-c1-n0.01-m16,2,1,0.01,16,,0.6717946679315379
